Counts,Article type,URL,Title,Year,Country,theme,Results,Lessons learnt,Latitude ,Longitude
11,Case Report,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/732451468309869949/tunisia-oases-ecosystems-and-livelihoods-project,Oases Ecosystems and Livelihoods Project,2014,Tunisia,Sustainable land and water management,"The project focuses on traditional oases for their ecological resilience and cultural significance, employing an approach that balances conservation, adaptation, and socioeconomic development to create an enabling environment for better oasis management and support the implementation of sustainable practices in six representative Tunisian oases.","Long-term sustainability of interventions depends on continuous community engagement and capacity building, along with ongoing monitoring and evaluation to assess impacts and adapt strategies as necessary.",34.21443516647821,8.963252097770981
12,Case Report,"https://www.forestlandscaperestoration.org/case-studies/afforestation-and-erosion-control-in-turkey-a-national-effort/#:~:text=During%20these%20five%20years%2C%20Turkey,and%2037%2C880%20hectares%20of%20rangeland.",Afforestation and Erosion Control- Turkey,2021,Turkry,Afforestation,"Over five years, Turkey accomplished the afforestation of 210,169 hectares, soil protection afforestation across 315,889 hectares, and private afforestation on 49,385 hectares, while rehabilitating 1.75 million hectares of degraded forest and 37,880 hectares of rangeland; trees were planted along 8,135 km of highways, 2,262 km of village roads, and in 27,000 school yards, health centers, and sanctuaries, employing 300,000 people annually for various activities and utilizing only local tree species to conserve biodiversity","The project's success has prompted the EIB and the Turkish Ministry of Forestry and Water Works to seek further collaboration opportunities to enhance ongoing afforestation and erosion control efforts, with future initiatives focusing on improving forest management quality and safeguarding biodiversity in Turkey’s forests.",39.47840320015267,35.908840426420596
13,Case Report,https://projects.worldbank.org/en/projects-operations/project-detail/P151363,Climate Adapation and Mitigation Program for Aral Sea Basin (CAMP4ASB),2015,"Kazakhstan, Kyrgyz Republic, Tajikistan, Turkmenistan, and Uzbekistan",Climate action,"Kazakhstan's Kok-Aral Dam has partially restored the North Aral Sea, benefiting local fisheries and lowering salinity, while Uzbekistan's large-scale afforestation projects have stabilized extensive areas of the dried seabed, reducing dust storms and enhancing soil quality.","The importance of regional collaboration for climate resilience, integrating local knowledge in climate adaptation practices, and ensuring flexible, community-driven approaches to effectively address diverse environmental challenges across Central Asia.",42.28211120307477,66.0628194058254
14,Case Report,https://esip.icfre.org,Ecosystem Services Improvement Project- India,2017,India,Agroforestry,"Successful implementation of community-based forest management practices in states like Madhya Pradesh and Chhattisgarh, leading to improved forest health and increased community income. Introduction of sustainable agricultural practices in project areas has led to increased crop yields and reduced environmental impact.","The value of engaging local communities in forest and land restoration efforts, integrating sustainable land management practices, and enhancing ecosystem services to improve rural livelihoods and promote long-term ecological resilience.",22.8830248919948,77.7750975335614
15,Case Report,https://documents.banquemondiale.org/en/publication/documents-reports/documentdetail/329321468029345771/china-ningxia-desertification-control-and-ecological-protection-project-resettlement-plan,Ningxia Desertification Control and Ecological Protection Project,2012,China,Agroforestry,"The project improved 32,351 hectares of degraded land through vegetation restoration and natural regeneration, achieving a 28% increase in vegetation cover, higher species diversity, and soil quality improvements with biocrust formation; training for officials, staff, and farmers increased land management skills, leading to over 70% seedling survival. Employment in forestry activities boosted income by $2,300 annually for 8,158 people, while a multifunctional plantation pilot added $1,700–$2,400 yearly income for 3,809 farmers. The project also reduced wind erosion, sequestered over 88,000 tons of carbon, established 2,455 hectares of shelterbelt plantations, and protected the Yellow River, saving $200 million in sediment removal costs.","Integrating vegetation restoration with community-driven livelihood programs can effectively reverse land degradation, boost local incomes, and enhance ecological resilience in arid regions.",37.5871328,106.062579
16,Case Report,https://decoin.org,"Community-led watershed restoration in Intag Valley, Ecuador (Defensa y Conservación Ecológica de Intag )",2005,Ecuador,Sustainable land and water management,"The DECOIN project revealed that community-driven land restoration using familiar, practical species can lead to significant environmental benefits and widespread participation when restoration occurs on communal land, reducing individual opportunity costs and encouraging organic adoption of restoration practices on private land.","Community-led restoration, especially on communal land, encourages broad participation, organic expansion onto private lands, and meaningful environmental improvements, particularly when familiar, useful tree species are planted to address local water needs.",0.34852427,-78.536508
17,Case Report,https://www.fao.org/sustainable-forest-management/toolbox/cases/case-detail/en/c/1476865/,"Restoring native forest with Ban Mae Sa Mai Village, Chiang Mai, Thailand",1997,Thailand,Agroforestry,"The project demonstrated that the framework species method can effectively restore forest biodiversity and ecosystem services within a relatively short timeframe, benefiting local wildlife and communities, enhancing social cohesion, and fostering positive external relationships.","Key lessons from the restoration initiative emphasize the importance of integrating social, economic, and political frameworks that recognize the value of forests and reward restoration efforts; promoting restoration as a viable livelihood; adapting project goals to the evolving aspirations of rural populations; leveraging restoration projects for controlled experimentation and adaptive management; and engaging diverse community members to harness a range of skills and perspectives.",18.8007046208932,98.9199777407141
18,Case Report,https://crowtherlab.com/wp-content/uploads/2022/05/In-brief-Case-3_Instituto_Terra_Summary_PDF.pdf,Olhos D’Água extension program,2009,Brazil,Sustainable land and water management,"Since 1998, Instituto Terra has successfully restored 2,072 hectares of degraded Atlantic Forest, protected nearly 2,000 springs in the Rio Doce Watershed, engaged local communities in restoration efforts, enhanced educational capacities, and established a regional hub for restoration while focusing on improving water quality and using genetically diverse native seedlings for planting across the region.","In the restoration process, it is crucial to conduct a thorough diagnosis of the specific issues at hand, maintain transparency and communication with partners and stakeholders, recognize that there is no one-size-fits-all solution, and practice patience, as forest and spring restoration is inherently a gradual endeavor.",-19.5046167869867,-41.0712396279297
19,Case Report,https://crowtherlab.com/wp-content/uploads/2021/12/In-brief-Case-4-Niger_1Nov_Summary-PDF.pdf,The hidden forest: farmers tend regenerating trees in African Drylands (“Food for Work” program),1985,Niger,Sustainable agriculture,"This case of Farmer Managed Natural Regeneration (FMNR) demonstrated that empowering farmers to control trees on their land, supported by policy reforms and peer-to-peer learning, led to significant agricultural benefits, including increased yields and food security, with minimal investment, highlighting the importance of aligning restoration efforts with local needs and practices.","The importance of flexibility and adaptability in restoration practices, the potential for desperate circumstances to drive change, the effectiveness of peer-to-peer learning for fostering widespread adoption, the necessity of social cohesion for successful implementation, and the critical role of engaging farmers in the restoration process.",13.4979533,7.10606924
20,Case Report,https://crowtherlab.com/wp-content/uploads/2021/12/Case-5-Nachusa-Grassland_29Oct_Summary_PDF.pdf,"Restoring tallgrass prairie in Illinois, USA",1986,USA,Sustainable land and water management,"The Nachusa Grasslands restoration has thrived due to the dedication of volunteer stewards who work collaboratively with The Nature Conservancy and local landowners to protect prairie remnants, restore wetlands, and monitor progress, resulting in a vibrant hub for research and a central part of the community's social and cultural life.","Engaging volunteers in restoration efforts, the necessity of frequent disturbances like fire and grazing for effective grassland habitat restoration, the need for multiple approaches to weed control, the avoidance of planting in weed-infested areas, the use of diverse seed mixes from the start, and the value of investing in monitoring and partnerships with researchers for informed decision-making.","41.88326816	",-89.34149289
21,Case Report,https://crowtherlab.com/wp-content/uploads/2021/12/In-brief-Case-6-Shouf_Lebanon_1Nov_Summary_PDF.pdf,"Forest and Landscape Restoration for livelihoods and biodiversity in the Shouf, Lebanon ( Al-Shouf Cedar Society -ACS)",2005,Lebanon,Agroforestry,"The ACS effectively utilized pilot projects and demonstration plots to showcase intervention outcomes, which encouraged farmers to restore terracing and plant trees on private lands, influenced government management of overstocked forests, and shaped policies for future interventions; success hinged on building capacity and support for all stakeholders throughout the restoration process, including high-quality seedling production and market access for tree-based products, facilitated by a three-tiered governance structure that ensured coordination and responsiveness to local needs.","Pilot and demonstration sites are vital for engaging stakeholders and promoting the spread of forest landscape restoration (FLR), which should be economically sustainable with continuous support and capacity development, while emphasizing an iterative learning process and delivering simultaneous economic, social, and environmental benefits from the outset.","33.68274384	",35.6955578
22,Case Report,https://crowtherlab.com/wp-content/uploads/2021/12/Case-7-Shinyanga_29Oct_Summary_PDF.pdf,"Reviving traditonal land-use practices to restore landscapes and livelihoods in Shinyanga, Tanzania (HASHI)",1986,Tanzania,Agroforestry,"Devolving decision-making to village institutions through HASHI enhanced local responsibility for managing Ngitili and other natural resources by transferring forest management duties from the central government to village governments, integrating traditional knowledge with agroforestry practices, and empowering local communities to make decisions and implement restoration efforts.","Listening to the local communities and leveraging their knowledge is essential for effective restoration, as decentralizing land management empowers local leadership, fosters long-term planning for sustained financial support, strengthens stakeholder relationships, and highlights the importance of women as key beneficiaries of Ngitili tree products.",-3.67353994529908,32.7705276202737
23,Case Report,https://crowtherlab.com/wp-content/uploads/2022/05/In-Brief_Case-11_ACG_final_19Feb_Summary.pdf,"Bio-cultural restoration of Área de Conservación Guanacaste (ACG), Costa Rica",1985,Costa Rica,Agroforestry,"The formation of ACG marked a significant shift toward community-based conservation and management through strategic land purchases, government collaboration, fire elimination, local employment, and education, ultimately creating and protecting habitats for native species while engaging local communities in conservation efforts and fostering natural forest regeneration to restore and connect forest ecosystems.","Long-term conservation and restoration efforts depend on the active cooperation and engagement of stakeholders at all levels, emphasizing the protection of remaining habitats, the strategic growth of protected areas for ecological integrity and climate resilience, and the importance of bioliteracy education to enhance understanding of biodiversity's value to society.",10.839311518967,-85.6193284695078
24,Case Report,https://restor.eco/fr/platform/sites/79c6dde0-7f49-48ab-8fc8-6c3478e0ad63/,"Community-based mangrove restoration, conservation and management in Pred Nai, Thailand (PNCFG)",1998,Thailand,Wetland restoration,"Local actions taken by Pred Nai villagers led to the restoration and protection of 1,920 ha of coastal mangrove forest and enabled larger scale mangrove management and restoration throughout the region.","Addressing the fundamental livelihood needs of local communities can foster collective action for ecosystem protection and restoration, with partnerships and institutional linkages essential for sustaining conservation efforts, while locally driven restoration initiatives enhance social equity, reduce poverty, and integrate both conventional and local ecological knowledge for improved resource management and climate adaptation.","12.14288280131605	",102.51478546181511
25,Case Report,https://crowtherlab.com/wp-content/uploads/2022/12/Case-13_NepaI_Summary.pdf,Rupa Lake: Restoring communal fisheries and landscapes in the Nepalese Himalaya,2001,Nepal,Agroforestry,"The community engaged in two key activities, creating a comprehensive management plan with detailed forest resource mapping and establishing a Village Savings Group to ensure financial sustainability for local mangrove conservation, leading to the adoption of proactive restoration principles that reflect the villagers' socio-environmental goals, while fostering partnerships and enhancing their capacity as change-makers and conservation leaders in the broader Pred Nai and Trat Province areas.","Fundamental livelihood needs can motivate local communities to collectively protect and restore ecosystems, with partnerships and institutional linkages playing a crucial role in ensuring the sustainability of these efforts, while locally initiated restoration and resource management can alleviate poverty, enhance social equity, and facilitate climate mitigation and adaptation by leveraging community knowledge and integrating both scientific and local ecological insights.",28.145394399447987,84.11450261183587
26,Case Report,https://crowtherlab.com/wp-content/uploads/2022/12/Restor_Case_Study_Case-14_Ashland-Forest_High_Rez.pdf,"Restoring forests and public trust in Oregon, USA with the Ashland Forest Resiliency Project ",2010,USA,Controlled underburning ,"A ""shared stewardship"" approach enabled partners to leverage significant co-investment and capacity, resulting in the expansion of forest restoration programs to private lands, increasing the project area from 8,900 to 21,400 hectares, and extending fuel reduction treatments to 5,868 hectares, which covered 28% of the expanded project area by 2018, including controlled underburning on 607 hectares.","Transparency and trust are fundamental to all-lands management, which requires flexible restoration implementation in response to evolving environmental and social conditions, along with strong collaborative arrangements to identify constraints and leverage strengths, clear communication with landowners and the community to align project objectives with needs, and funding that supports both restoration costs and the local workforce.",42.13915307190149,-122.62316278149531
27,Case Report,https://crowtherlab.com/wp-content/uploads/2022/12/Case-15_Scolel-Te-Mexico_Summary.pdf,"Scolel’te: Marketing carbon to support smallholder-based agroforestry and reforestation in Chiapas, México",1997,Mexico,Agroforestry,"Cooperativa AMBIO, a locally based NGO, operates the Scolel’te program, which provides technical support, sells carbon certificates, and distributes payments for environmental services to participants, benefiting over 1,439 households and 17 community groups across 111 rural and indigenous communities, conserving more than 9,668 hectares of forests and capturing over half a million tons of carbon dioxide for 3,334 families.","Integrating carbon sequestration into regional production systems enhances socio-economic, cultural, and environmental benefits, while reforestation is more likely to succeed when it addresses local needs and increases production; successful outcomes in neighboring farms motivate participation, and effective local organizations are key to community-based carbon credit programs.",16.514050735804176,-92.5475724863077
28,Case Report,https://crowtherlab.com/wp-content/uploads/2022/12/Case-16_Scotland_Summary.pdf,Rewilding the Scottish Highlands,1993,UK,Rewilding,"NGO Trees for Life rewilded thousands of hectares to native Scottish forest by reducing grazing pressure, propagating native tree species, and reintroducing red squirrels, while advocating for the reinstatement of keystone species; their future efforts aim to collaborate with landholders and hunters to expand rewilding in the Highlands.","Visionary leadership and reduced grazing pressure are essential for rewilding the Scottish Highlands, requiring a tailored approach that incorporates local needs and facilitates animal reintroductions for long-term ecosystem recovery.",57.12293602028775,-5.117749415676801
29,Case Report,https://crowtherlab.com/wp-content/uploads/2023/09/Haiti-Reforestation-Partnership_Summary.pdf,Reforesting watersheds through comprehensive development in Southern Haiti (Comprehensive Development Program - CODEP),1991,Haiti,Reforestation,"Since its inception in 1991, CODEP has successfully planted around 16 million trees with an 81% survival rate, established 41 nurseries producing 500,000 seedlings annually, and enhanced local livelihoods and food security through reforestation that stabilizes soils and improves water flow in local springs.","Building local capacity and trust fosters leadership across generations, with women playing vital roles in reforestation, while sustainable watershed restoration relies on local organizations that support cultural values and social equity, emphasizing community engagement and livelihood improvement as key to reducing deforestation.",18.50858570639853,-72.35935747826915
30,Case Report,https://crowtherlab.com/wp-content/uploads/2023/09/Altiplano-Spain-Case-Study_Summary.pdf,Using regenerative agriculture to restore the Spanish Altiplano landscape,2015,Spain,Regenerative agriculture,"AlVelAl successfully promoted reforestation and regenerative agricultural practices across a vital 25,000 ha biodiversity corridor, enhancing soil, water resources, and biodiversity, with over 450 members by 2022 practicing regenerative agriculture on 10,500 ha and restoring more than 400 ha of trees and forests through planting and natural regeneration.","Regenerative agriculture, integral to landscape restoration, requires tailored approaches, emphasizes peer learning among farmers, faces funding challenges for assisted natural regeneration, and is driven by the need for market demand for regenerative products, while also enhancing farmers' cultural status and attracting youth back to rural areas.",38.31976451251345, -2.4733382285536782
31,Case Report,https://crowtherlab.com/wp-content/uploads/2023/09/Restor_Case_Study_Case-19_Delta_Danube_Summary.pdf,Restoring floodplains and wetland corridors in the Lower Danube River and Danube Delta,2000,Lower Danube floodplains,Wetland restoration,"By 2020, over 60,000 hectares of Lower Danube floodplains were under restoration, including 6,000 hectares of islands in Romania that were reconnected to the river and has largely achieved its objectives for conservation of globally significant biodiversity, especially for birds.","Site-based restoration through small-scale pilot projects engages local communities and builds capacity, while effective transboundary collaboration depends on international institutional support and skilled NGO partners, as restoring floodplains positively impacts agriculture, energy, transport, and tourism by addressing degradation and considering complex ecosystem feedback loops.",45.05590110044491,28.78027898555301
32,Case Report,https://crowtherlab.com/wp-content/uploads/2023/09/Restor_Case_Study_Case-20_India-Junglescapes_Summary.pdf,"Junglescapes: Communities restoring forests to conserve wildlife in the Western Ghats, India",2007,India,Rewilding,"In 2007, Junglescapes, a local NGO, engaged displaced indigenous villagers as restoration partners by developing accessible, low-cost methods to remove invasive species and restore wildlife habitat while conserving their traditional ecological knowledge.","Assisted natural regeneration can effectively promote ""restoration for rewilding"" by emphasizing responsible practices, such as using native species and collaborating with local communities, thereby fostering trust and stewardship while combining scientific and traditional ecological knowledge for holistic benefits.",10.237485, 77.176505
