Article.number,Title,Authors,DOI,Year.of.publication,Scale.of.study,Type.of.literature,Type.of.study,Research.type,Primary.focus.areas,Secondary.focus.areas,General.disease,General.vector,Ecosystem,Main.findings,Latitude,Longitude
48,Impact Of A Freeway On The Dispersal Of Ticks And Ixodes Ricinus-Borne Pathogens: Forested Resting Areas May Become Lyme Disease Hotspots,"S. Hornok, M. Mulvihill, K. Szoke, E. Gonczi, K. M. Sulyok, M. Gyuranecz & R. Hofmann-Lehmann",10.1556/004.2017.024,2017,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Multiple,Terrestrial,"This in turn will lead to enhanced pathogen prevalence in such small enclosures, as demonstrated for the forested freeway resting place in the present study.",47.62,19.39
55,High burdens of Ixodes scapularis larval ticks on white-tailed deer may limit Lyme disease risk in a low biodiversity setting,"CI. Huang, S. C. Kay, S. Davis, D. M. Tufts, K. Gaffett, B. Tefft & M. A. Diuk-Wasser",10.1016/j.ttbdis.2018.10.013,2019,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,Lyme disease,Multiple,Terrestrial,Our study identified an influential role of deer in reducing nymphal tick infection prevalence and a potential role as dilution hosts if the reduction in nymphal infection prevalence outweighs the role of deer as tick population amplifiers. ,41.15439008,-71.57716265
65,Mixed Effects of Habitat Degradation and Resources on Hantaviruses in Sympatric Wild Rodent Reservoirs within a Neotropical Forest,"J. V. Camp, B. Spruill-Harrell, R. D. Owen, C. Sol-Riera, E. P. Williams, A. M. Sawyer & C. B. Jonsson",10.3390/v13010085,2021,Local,Scientific literature,Degradation,Experimental,Zoonoses/Infectious diseases,,Hantavirus,Rodents,Terrestrial,"Our field experiments conclusively demonstrate that habitat and landscape composition are primary factors for the prevalence of hantavirus in A. montensis in the neotropics, but not for O. nigripes.",-24.13739571,-55.40833072
75,Recreation reduces tick density through fine-scale risk effects on deer space-use.,"B. Mols, J. E. Badji-Churchill, J. P. G. M. Cromsigt, D. P. J. Kuijper & C. Smit",10.1016/j.scitotenv.2022.156222,2022,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Deer,Terrestrial,"On the highly used trails, the reduction in nymph density near the trails, relative to further away, was as high as 63%.",52.04988906,6.031333254
77,"Spatial variation in risk for tick-borne diseases in residential areas of Dutchess County, New York","F. Keesing, E. Tilley, S. Mowry, S. Adish, W. Bremer, S. Duerr, A. S. Evans Jr, I. R. Fischhoff, F. Keating, J. Pendleton, A. Pfister, M. Teator & R. S. Ostfeld",10.1371/journal.pone.0293820,2023,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Local communities,Tick-borne diseases,Ticks,Terrestrial,We found no support for our prediction that forest cover within a neighborhood would be associated with the abundance of nymphal ticks within that neighborhood.,41.58258735,-73.8942011
80,Detection of Zika Virus in Aedes aegypti and Aedes albopictus Mosquitoes Collected in Urban Forest Fragments in the Brazilian Amazon,"E. O. Gomes, L. Sacchetto, M. Teixeira, B. A. Chaves, A. Hendy, C. Mendonca, I. Guimaraes, R. Linhares, D. Brito, D. Valerio, J. S. M. Cordeiro, A. V. S. Neto, V. S. Sampaio, V. M. Scarpassa, M. Buenemann, N. Vasilakis, D. C. Baia-da-Silva, M. L. Nogueira, M. P. G. Mourao & M. V. G. Lacerda",10.3390/v15061356,2023,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Zika virus,Mosquito,Terrestrial,Our findings show a high percentage of pools that tested positive for Zika Virus based on mosquitoes collected in three of the four forest fragments studied in Manaus.,-3.101172,-60.044781
92,Prevalence of zoonotic Bartonella among prairie rodents in Illinois,"S. Beckmann, M. Engelbrecht, F. Chavez & G. Rojas",10.1093/jmammal/gyz164,2020,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,Bartonella infection,Small mammals,Terrestrial,Our results also suggest that habitat restoration efforts in human-dominated landscapes may have the unintended consequence of increasing the likelihood of zoonotic disease transmission to humans and companion animals.,42.26,-88.91
94,"Preliminary study of Malaysian fruit bats species diversity in Lenggong Livestock Breeding Center, Perak: Potential risk of spill over infection","M. Mikail, T. A. T. R. Putra, A. S. Suri, M. N. M. Hezmee & M. T. Marina",10.14202/vetworld.2017.1297-1300,2017,Local,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Bat-borne diseases,Bats,Terrestrial,We concluded that fruit bats are encroaching livestock areas and the species identified could be a potential source of infection to susceptible livestock. ,5.133913236,100.9832926
95,"Effects of landscape anthropization on sylvatic mosquito assemblages in a rainforest in Chiapas, Mexico","G. Orta-Pineda, C. A. Abella-Medrano, G. Suzan, A. Serrano-Villagrana & R. Ojeda-Flores",10.1016/j.actatropica.2021.105849,2021,Local,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Mosquito-borne diseases,Mosquito,Terrestrial,Our results indicate that the relative abundance of the species that make up the mosquito assemblages increase with increasing landscape anthropization and suggest a possible relationship with the species richness of mosquitoes that are found along the anthropization gradient in PNP.,17.49658046,-92.01381654
97,Vector compositions change across forested to deforested ecotones in emerging areas of zoonotic malaria transmission in Malaysia,"F. M. Hawkes, B. O. Manin, A. Cooper, S. Daim, R. Homathevi, J. Jelip, T. Husin & T. H. Chua",10.1038/s41598-019-49842-2,2019,Local,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Malaria,Mosquito,Terrestrial,"This potential vector was associated with habitat fragmentation measured as disturbed forest edge:area ratio, while An. balabacensis was not, indicating fragmented land use could favour An. donaldi. ",5.330593534,116.0427942
100,Effects Of Microclimatic Changes Caused By Deforestation On The Survivorship And Reproductive Fitness Of Anopheles Gambiae In Western Kenya Highlands,"Y. A. Afrane, G. Zhou, B. W. Lawson, A. K. Githeko & G. Yan",10.4269/ajtmh.2006.74.772,2006,Local,Scientific literature,Degradation,Experimental,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,Deforestation enhanced vectorial capacity by 106% and 29% in the dry and rainy seasons in the highlands.,-0.074381,34.664916
103,"Deforestation and vectorial capacity of Anopheles gambiae giles mosquitoes in malaria transmission, Kenya","Y. A. Afrane, T. J. Little, B. W. Lawson, A. K. Githeko & G. Yan",10.3201/eid1410.070781,2008,Local,Scientific literature,Degradation,Experimental,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,"We showed that deforestation changes microclimates, leading to more rapid sporogonic development of P. falciparum and to a marked increase of malaria risk in the western Kenyan highland.",-0.076108322,34.66832788
104,"Habitat fragmentation and haemoparasites in the common fruit bat, Artibeus jamaicensis (Phyllostomidae) in a tropical lowland forest in Panama","V. M. Cottontail, N. Wellinghausen & E. K. V. Kalko",10.1017/S0031182009990485,2009,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Multiple,Bats,Terrestrial,"Trypanosome prevalence was significantly higher in bats from forest fragments, than in bats captured in continuous forest. We attribute this to the loss of species richness in forest fragments and specific characteristics of the fragments favouring trypanosome transmission, in particular changes in vegetation cover.",9.157167019,-79.84718116
105,The impact of habitat fragmentation on tsetse abundance on the plateau of eastern Zambia,"E. Ducheyne, C. Mweempwa, C. De Pus, H. Vernieuwe, R. De Deken, G. Hendrickx & P. Van den Bossche",10.1016/j.prevetmed.2009.05.009,2009,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Trypanosomiasis,Tsetse fly,Terrestrial,"Heavily fragmented areas have lower numbers of tsetse flies, but when the fragmentation of natural vegetation decreases, the number of tsetse flies increases following a sigmoidal-like curve.",-14.002,31.852
106,"Links Between Habitat Degradation, and Social Group Size, Ranging, Fecundity, and Parasite Prevalence in the Tana River Mangabey (Cercocebus galeritus)","D. N. M. Mbora, J. Wieczkowski & E. Munene",10.1002/ajpa.21113,2009,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Gastrointestinal parasites,NA,Terrestrial,"Groups in the disturbed forest had higher, although not statistically significant, parasite prevalence and richness.",-1.933963286,40.13681039
108,"Population structure of the Chagas disease vector, Triatoma infestans, at the urban-rural interface","E. A. Foley, C. E. Khatchikian, J. Hwang, J. Ancca-Juarez, K. Borrini-Mayori, V. R. Quispe-Machaca, M. Z. Levy & D. Brisson",10.1111/mec.12471,2013,Local,Scientific literature,Degradation,Field study,Public healh,Zoonoses/Infectious diseases,Chagas disease,Triatomine bug,Terrestrial,Rapid urbanization across southern South America will continue to create suitable environments for Tria. Infestans.,-16.55493986,-71.45018662
109,Land Use and Land Cover Changes and Spatiotemporal Dynamics of Anopheline Larval Habitats during a Four-Year Period in a Highland Community of Africa,"S. Munga, L. Yakob, E. Mushinzimana, G. Zhou, T. Ouna, N. Minakawa, A. Githeko & G. Yan",10.4269/ajtmh.2009.09-0156,2009,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,Vectorial capacity was estimated to be 77.7% higher in the deforested areas than in the forested areas of the same altitude.,0.1667,34.75
110,Shading by Napier Grass Reduces Malaria Vector Larvae in Natural Habitats in Western Kenya Highlands,"P. M. Wamae, A. K. Githeko, D. M. Menya & W. Takken",10.1007/s10393-010-0321-2,2010,Local,Scientific literature,Restoration,Experimental,Zoonoses/Infectious diseases,,Malaria,Mosquito,Freshwater,"Shading of these habitats with Napier grass reduces the density of immature mosquitoes, and potentially changes the local population structure of important disease vectors, including An. gambiae s.l. larvae. ",0.029,34.64
115,Association of Anthropogenic Land Use Change and Increased Abundance of the Chagas Disease Vector Rhodnius pallescens in a Rural Landscape of Panama,"N. L. Gottdenker, J. E. Calzada, A. Saldana & C. R. Carroll",10.4269/ajtmh.2011.10-0041,2011,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Chagas disease,Triatomine bug,Terrestrial,Our data indicate that mid-secondary forest remnants and early secondary forest patches support a relatively high abundance of R. pallescens.,9.012137496,-79.71106473
118,"Effect of land use and land cover modification on distribution of anopheline larval habitats in Meghalaya, India","A. K. Srivastava, B. Kharbuli, D. S. Shira & A. Sood",NA,2013,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,Deforestation and unplanned urbanization creates suitable habitats for Anopheles.,25.5934,91.3503
120,"Climate change and habitat fragmentation drive the occurrence of Borrelia burgdorferi, the agent of Lyme disease, at the northeastern limit of its distribution","J. A. Simon, R. R. Marrotte, N. Desrosiers, J. Fiset, J. Gaitan, A. Gonzalez, J. K. Koffi, FJ. Lapointe, P. A. Leighton, L. R. Lindsay, T. Logan, F. Milord, N. H. Ogden, A. Rogic, E. Roy-Dufresne, D. Suter, N. Tessier & V. Millien",10.1111/eva.12165,2014,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Multiple,Terrestrial,"The connectivity between habitat patches in a fragmented landscape has been shown to affect tick densities, which are higher in this type of mosaic landscape than in more homogeneous and continuous forested landscapes.",45.625,-73.25
123,Effects of Land Use on Plague (Yersinia pestis) Activity in Rodents in Tanzania,"D. J. McCauley, D. J. Salkeld, H. S. Young, R. Makundi, R. Dirzo, R. P. Eckerlin, E. F. Lambin, L. Gaffikin, M. Barry & K. M. Helgen",10.4269/ajtmh.14-0504,2015,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Plague,Rodents,Terrestrial,The conversion of conservation areas to agriculture potentially increases the risk of plague transmission to humans via multiple pathways.,-3.7,35.7167
126,Spatiotemporal variation of mosquito diversity (Diptera: Culicidae) at places with different land-use types within a neotropical montane cloud forest matrix,"C. A. Abella-Medrano, S. Ibanez-Bernal, I. MacGregor-Fors & D. Santiago-Alarcon",10.1186/s13071-015-1086-9,2015,Local,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Malaria,Mosquito,Terrestrial,"Mosquito richness is greater near city environments than at the well-preserved cloud forest, but the later has higher abundance compared to all other sites.",19.4541,-97.0077
127,Mosquito communities and disease risk influenced by land use change and seasonality in the Australian tropics,"D. B. M. Steiger, S. A. Ritchie & S. G. W. Laurance",10.1186/s13071-016-1675-2,2016,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,Malaria,Mosquito,Terrestrial,Most disease transmitting species predominantly occur in grasslands created by humans. ,-16.8333,145.6833
143,Ecological characterization of a tick community across a landscape gradient exhibiting differential anthropogenic disturbance in the Atlantic Forest ecoregion in Argentina,"D. Lamattina, J. M. Venzal, S. A. Costa, J. P. Arrabal, S. Flores, P. E. Berrozpe, D. Gonzalez-Acuna, A. A. Guglielmone & S. Nava",10.1111/mve.12295,2018,Local,Scientific literature,Degradation,Field study,Biodiversity,Local communities,NA,Ticks,Terrestrial,The results indicate that forest environments are more suitable habitats than agricultural and urban environments for many species of native tick.,-25.63925951,-54.58122263
152,Forest disturbance and vector transmitted diseases in the lowland tropical rainforest of central Panama,"J. R. Loaiza, J. R. Rovira, O. I. Sanjur, J. A. Zepeda, J. E. Pecor, D. H. Foley, L. Dutari, M. Radtke, M. J. Pongsiri, O. S. Molinar & G. Z. Laporta",10.1111/tmi.13244,2019,Local,Scientific literature,Restoration,Field study,Zoonoses/Infectious diseases,,NA,Multiple,Terrestrial,"Overall species richness and abundance of Phlebotominae and Culicoides, including mainly climax species and likely disease vectors, were higher in pristine forest habitats, thus showing an amplification effect on the entomological risk mediated by higher biodiversity.",9.103383114,-79.88677333
153,"Occurrence of the Sylvatic Yellow Fever Vector Mosquito Haemagogus leucocelaenus (Diptera: Culicidae) in an Atlantic Forest Fragment of the Touristic State of Rio de Janeiro, Brazil","S. O. F. Silva, C. F. de Mello, A. E. Guimaraes, P. J. Leite & J. Alencar",10.1093/jme/tjac153,2022,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Yellow fever,Mosquito,Terrestrial,We believe that Culicidae population surveillance is crucial for disease monitoring since the increase in specimens of a number of vector species influences the emergence of yellow fever cases in nonhuman primates and human populations.,-22.5152113,-42.27651508
154,"Effect of different habitat types on abundance and biting times of Anopheles balabacensis Baisas (Diptera: Culicidae) in Kudat district of Sabah, Malaysia","T. H. Chua, B. O. Manin, I. Vythilingam, K. Fornace & C. J. Drakeley",10.1186/s13071-019-3627-0,2019,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,The shrub bushes habitat had the highest Anopheles species diversity while forest edge had the greatest number of Anopheles individuals caught.,6.7699,116.7842
155,"Habitat amount, quality, and fragmentation associated with prevalence of the tick-borne pathogen Ehrlichia chaffeensis and occupancy dynamics of its vector, Amblyomma americanum","D. T. Simpson, M. S. Teague, J. K. Weeks, B. Z. Kaup, O. Kerscher & M. Leu",10.1007/s10980-019-00898-5,2019,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Ehrlichiosis,Ticks,Terrestrial,"We found pathogen prevalence was negatively associated with both forest cover and edge, such that prevalence was highest in areas of low forest cover and low fragmentation, where we predicted it to be lowest.",37.20118572,-76.54137075
159,Multi-scale patterns of tick occupancy and abundance across an agricultural landscape in southern Africa,"K. J. Ledger, R. M. Keenan, K. A. Sayler & S. M. Wisely",10.1371/journal.pone.0222879,2019,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,NA,Ticks,Terrestrial,Several landscape scale factors influenced adult tick occupancy and abundance and the direction of effects differed among Rhipicephalus and Haemaphysalis ticks.,-26.14085,31.94385
161,Wildfire-induced short-term changes in a small mammal community increase prevalence of a zoonotic pathogen?,"F. Ecke, S. A. N. Mahani, M. Evander, B. Hornfeldt & H. Khalil",10.1002/ece3.5688,2019,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,Biodiversity,Hantavirus,Rodents,Terrestrial,"Infection probability was highest in the fire area due to low habitat complexity in burnt forests, which possibly increased encounter rate among bank voles.",66.15371381,20.81551431
162,"Landscape determinants of density of blacklegged ticks, vectors of Lyme disease, at the northern edge of their distribution in Canada","B. Talbot, A. Slatculescu, C. R. Thickstun, J. K. Koffi, P. A. Leighton, R. McKay & M. A. Kulkarni",10.1038/s41598-019-50858-x,2019,Local,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Ticks,Terrestrial,"Our results support that proximity to roads of one or two lanes may be associated with higher likelihood of tick establishment. However, opposite to our predictions, we detected a positive relationship between distance to roads and infection prevalence by B. burgdorferi in blacklegged ticks.",45.23664877,-75.65483218
163,"Impact of deforestation on the abundance, diversity, and richness of Culex mosquitoes in a southwest Cameroon tropical rainforest","M. P. A. Mayi, D. F. Foncha, C. Kowo, T. Tchuinkam, K. Brisco, D. N. Anong, S. Ravinder & A. J. Cornel",10.1111/jvec.12359,2019,Local,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,NA,Mosquito,Terrestrial,"The mosquito community in the selectively logged forest recorded the largest number of mosquito species, while the unlogged forest recorded the fewest number of mosquito species with a significant difference among the forest types.",5.1748,9.418
165,"Effects of land use, habitat characteristics, and small mammal community composition on Leptospira prevalence in northeast Madagascar","J. P. Herrera, N. R. Wickenkamp, M. Turpin, F. Baudino, P. Tortosa, S. M. Goodman, V. Soarimalala, T. N. Ranaivoson & C. L. Nunn",10.1371/journal.pntd.0008946,2020,Local,Scientific literature,Degradation,Field study,Biodiversity,Zoonoses/Infectious diseases,Leptospirosis,Small mammals,Terrestrial,"Prevalence of Leptospira was significantly higher in introduced compared to endemic species. Lastly, the probability of infection with Leptospira was highest in introduced small mammal species, and lower in forest fragments compared to other habitat types.",-14.47703205,49.81351935
171,Does deforestation drive visceral leishmaniasis transmission? A causal analysis,"C. V. B. dos Santos, A. da Paixao Seva, G. L. Werneck & C. J. Struchiner",10.1098/rspb.2021.1537,2021,Local,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Leishmaniasis,NA,Terrestrial,"We observed that the odds of vector, CVL, and HVL occurrence were 2.63, 2.07, and 3.18-fold higher, respectively, in deforested compared with forested municipalities.",-22.28498686,-49.03259513
21,Land-use change and infectious disease in West Africa,"M. C. Thomson, P. J. Ericksen, A. B. Mohamed & S. J. Connor",10.1029/153GM14,2004,Multi-region,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Multiple,Multiple,Terrestrial,"Deforestation has created new breeding sites in the forested areas of Central West Africa. Where sunlight is able to penetrate the forest canopy and human activity has resulted in surface water pooling (e.g., tire ruts along roadsides), the favored habitat of An. gambiae s.l. is created.",14,-8
26,"Ecological factors associated with West Nile virus transmission, northeastern United States","H. E. Brown, J. E. Childs, M. A. Diuk-Wasser & D. Fish",10.3201/eid1410.071396,2008,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,West Nile virus,Multiple,Terrestrial,The association between urban land use and human cases indicates that urban/suburban land use enhances environmental conditions for both enzootic and bridge transmission.,40.37024853,-77.1517699
37,"Influence of Deforestation, Logging, and Fire on Malaria in the Brazilian Amazon","M. B. Hahn, R. E. Gangnon, C. Barcellos, G. P. Asner & J. A. Patz",10.1371/journal.pone.0085725,2014,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,"Our results confirm our second hypothesis that forest disturbances from roads, fire, and selective logging increase malaria risk in a municipality.",-3.074450493,-65.29463883
41,Mapping Risk of Nipah Virus Transmission Across Asia and Across Bangladesh,A. T.Peterson,10.1177/1010539512471965,2015,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Nipah virus,Bats,Terrestrial,"A more detailed understanding of Nipah virus etiology, however, is probably linked to the details of biodiversity landscapes and human cultures. As with other hemorrhagic fever viruses, human culture and behavior can have important modifying influences on the manifestation of the illnesses that they cause.",24,90
42,Evidence for the Convergence Model: The Emergence of Highly Pathogenic Avian Influenza (H5N1) in Viet Nam,"S. Saksena, J. Fox, M. Epprecht, C. C. Tran, D. H. Nong, J. H. Spencer, L. Nguyen, M. L. Finucane, V. D. Tran & B. A. Wilcox",10.1371/journal.pone.0141519,2015,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,HPAI,Birds,Terrestrial,"We found in the main river deltas in Vietnam, urbanization had no significant association with Highly Pathogenic Avian Influenza (H5N1).",15.5,108
45,"Changing Patterns of Emerging Zoonotic Diseases in Wildlife, Domestic Animals, and Humans Linked to Biodiversity Loss and Globalization",A. A. Aguirre,10.1093/ilar/ilx035,2017,Multi-region,Scientific literature,Degradation,Review,Biodiversity,Zoonoses/Infectious diseases,Multiple,Multiple,Terrestrial,The findings did not support the hypothesis that greater species richness is higher in sylvan habitats compared to disturbed areas.,19.2105556,-99.41203179
46,Species Identity Supersedes the Dilution Effect Concerning Hantavirus Prevalence at Sites across Texas and Mexico,"M. T. Milholland, I. Castro-Arellano, E. Arellano, E. Nava-Garc­a, G. Rangel-Altamirano, F. X. Gonzalez-Cozatl, G. Suzan, T. Schountz, S. Gonzalez-Padron, A. Vigueras, A. V. Rubio, T. J. Maikis, B. J. Westrich, J. A. Martinez, III, M. D. Esteve-Gassent, M. Torres, E. R. Rodriguez-Ruiz, D. Hahn & T. E. Lacher, Jr",10.1093/ilar/ily001,2017,Multi-region,Scientific literature,Restoration,Experimental,Zoonoses/Infectious diseases,Biodiversity,Hantavirus,Rodents,Terrestrial,The hypothesis predicting greater species richness in sylvan habitats compared to disturbed areas is not supported.,18.464167,-99.256944
47,The nexus between forest fragmentation in Africa and Ebola virus disease outbreaks,"M. C. Rulli, M. Santini, D. T. S. Hayman & P. D'Odorico",10.1038/srep41613,2017,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Ebola,Bats,Terrestrial,"Our study shows that in the case of African ebolaviruses, spillover is more likely to occur in areas affected by forest fragmentation.",4.5,18
52,Gastrointestinal helminth fauna of rodents from Cambodia: emphasizing the community ecology of host-parasite associations,"K. Chaisiri, M. Chou, C. C. Siew, S. Morand & A. Ribas",10.1017/S0022149X16000869,2017,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Multiple,Rodents,Terrestrial,"The status of helminth infection and species diversity in rodents from settlements were significantly lower than in rodents from forest and peri-domesticated habitats, which indicates that habitat alteration might affect helminth infection and diversity in rodent hosts.",10.62,103.51
53,Habitat properties are key drivers of Borrelia burgdorferi (s.l.) prevalence in Ixodes ricinus populations of deciduous forest fragments,"S. Ehrmann, S. C. Ruyts, M. Scherer-Lorenzen, J. Bauhus, J. Brunet, S. A. O. Cousins, M. Deconchat, G. Decocq, P. De Frenne, P. De Smedt, M. Diekmann, E. Gallet-Moron, S. Gartner, K. Hansen, A. Kolb, J. Lenoir, J. Lindgren, T. Naaf, T. Paal, M. Panning, M. Prinz, A. Valdes, K. Verheyen, M. Wulf & J. Liira",10.1186/s13071-017-2590-x,2018,Multi-region,Scientific literature,Degradation,Field study,Zoonoses/Infectious diseases,,Lyme disease,Multiple,Terrestrial,Increasingly available ecotone habitat of focal forest patches diluted B. burgdorferi prevalence and edge density at landscape scale amplified B. burgdorferi prevalence. ,49.5,6.5
60,Sylvatic Mosquito Diversity in Kenya-Considering Enzootic Ecology of Arboviruses in an Era of Deforestation,"G. Eastwood, R. C. Sang, J. Lutomiah, P. Tunge & S. C. Weaver",10.3390/insects11060342,2020,Multi-region,Scientific literature,Degradation,Experimental,Biodiversity,Zoonoses/Infectious diseases,Mosquito-borne diseases,Mosquito,Terrestrial,"Although undisturbed primary forest has peak mosquito diversity, disturbance has led to mosquito communities with a greater abundance of pathogen-transmitting vector species.",0.693282291,37.67355927
68,High habitat richness reduces the risk of tick-borne encephalitis in Europe: A multi-scale study,"F. Dagostin, V. Tagliapietra, G. Marini, G. Ferrari, M. Cervellini, W. Wint, N. S. Alexander, M. G. Zuccali, S. Molinaro, N. Fiorito, T. Dub, D. Rocchini & A. Rizzoli",10.1016/j.onehlt.2023.100669,2024,Multi-region,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,Tick-borne encephalitis,Ticks,Terrestrial,"At both spatial scales, Tick-borne encephalitis risk decreases in areas with higher values of HRI.",54.2826552,12.6191987
76,Neotropical Primates and Humans: Risk of Bidirectional Parasite Transmission and Disease Sharing in Fragmented and Pristine Landscapes,"A. Chaves, M. del Carmen Villalobos-Segura, J. R. S. Ayala, O. M. Chaves, J. C. Bicca-Marques, B. Solorzano-Garc­ia, M. A. Barreto de Almeida & G. A. Gutierrez-Espeleta",10.1007/978-3-031-50531-7_9,2024,Multi-region,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Multiple,Primates,Terrestrial,"Howler monkeys A. palliata and A. pigra have a higher prevalence of Controrchis biliophilus in fragmented habitats than in protected or continuous forests, probably because of the proliferation of intermediate hosts.",-3.68719699,-66.18887664
111,Agricultural land-uses consistently exacerbate infectious disease risks in Southeast Asia,"H. A. Shah, P. Huxley, J. Elmes & K. A. Murray",10.1038/s41467-019-12333-z,2019,Multi-region,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Multiple,NA,NA,Our study shows that people who live or work in agricultural land in Southeast Asia are on average 1.74 times as likely to be infected with a pathogen than those unexposed. ,4.652713519,103.0299541
122,Identifying the Environmental Conditions Favouring West Nile Virus Outbreaks in Europe,"M. Marcantonio, A. Rizzoli, M. Metz, R. Ros, G. Marini, E. Chadwick & M. Neteler",10.1371/journal.pone.0121158,2015,Multi-region,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,,West Nile virus,NA,Terrestrial,"Although our model suggests a negative association with an index of heterogeneity, the model support for this term is low and the result therefore inconclusive.",51.67652038,41.40169523
124,"Predicting potential ranges of primary malaria vectors and malaria in northern South America based on projected changes in climate, land cover and human population","T. O. Alimi, D. O. Fuller, W. A. Qualls, S. V. Herrera, M. Arevalo-Herrera, M. L. Quinones, M. V. G. Lacerda & J. C. Beier",10.1186/s13071-015-1033-9,2015,Multi-region,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,Local communities,Malaria,Mosquito,Terrestrial,Future projections reveal a modest increase for An. darlingi and a slightly larger range expansion for An. nuneztovari s.l. by 2050 and 2070.,-0.784388086,-67.12968319
130,Does deforestation promote or inhibit malaria transmission in the Amazon? A systematic literature review and critical appraisal of current evidence,"J. M. T. Lima, A. Vittor, S. Rifai & D. Valle",10.1098/rstb.2016.0125,2017,Multi-region,Scientific literature,Degradation,Review,Zoonoses/Infectious diseases,,Malaria,Mosquito,Terrestrial,"While some studies report that deforestation increases malaria risk, others claim the opposite. ",-7.683394449,-69.05081922
147,Missing the people for the trees: Identifying coupled natural-human system feedbacks driving the ecology of Lyme disease,"A. J. MacDonald, A. E. Larsen & A. J. Plantinga",10.1111/1365-2664.13289,2019,Multi-region,Scientific literature,Degradation,Hypothesis/theoretical,Zoonoses/Infectious diseases,Local communities,Lyme disease,NA,Terrestrial,This suggests that forest fragmentation and habitat degradation alone cannot explain patterns of human Lyme disease.,43.44793368,-76.00614726
164,Does land-use change increase the abundance of zoonotic reservoirs? Rodents say yes,"H. Mendoza, A. V. Rubio, G. E. Garc­a-Pena, G. Suzan & J. A. Simonetti",10.1007/s10344-019-1344-9,2020,Multi-region,Scientific literature,Degradation,Review,Biodiversity,Zoonoses/Infectious diseases,Multiple,Rodents,Terrestrial,"Land-use change had a significant positive effect in the abundance of rodent reservoir species. In contrast, non-reservoir species were more abundant in non-modified habitats.",12.66389285,-7.962638739
