Counts,Article type,URL,Title,Year,Country,theme,Results,Lessons learnt,Latitude ,Longitude
14,Case Study,https://esip.icfre.org,Ecosystem Services Improvement Project- India,2017,India,Agroforestry,"Successful implementation of community-based forest management practices in states like Madhya Pradesh and Chhattisgarh, leading to improved forest health and increased community income. Introduction of sustainable agricultural practices in project areas has led to increased crop yields and reduced environmental impact.","The value of engaging local communities in forest and land restoration efforts, integrating sustainable land management practices, and enhancing ecosystem services to improve rural livelihoods and promote long-term ecological resilience.",22.88302489,77.77509753
15,Case Study,https://documents.banquemondiale.org/en/publication/documents-reports/documentdetail/329321468029345771/china-ningxia-desertification-control-and-ecological-protection-project-resettlement-plan,Ningxia Desertification Control and Ecological Protection Project,2012,China,Agroforestry,"The project improved 32,351 hectares of degraded land through vegetation restoration and natural regeneration, achieving a 28% increase in vegetation cover, higher species diversity, and soil quality improvements with biocrust formation; training for officials, staff, and farmers increased land management skills, leading to over 70% seedling survival. Employment in forestry activities boosted income by $2,300 annually for 8,158 people, while a multifunctional plantation pilot added $1,700–$2,400 yearly income for 3,809 farmers. The project also reduced wind erosion, sequestered over 88,000 tons of carbon, established 2,455 hectares of shelterbelt plantations, and protected the Yellow River, saving $200 million in sediment removal costs.","Integrating vegetation restoration with community-driven livelihood programs can effectively reverse land degradation, boost local incomes, and enhance ecological resilience in arid regions.",37.5871328,106.062579
17,Case Study,https://www.fao.org/sustainable-forest-management/toolbox/cases/case-detail/en/c/1476865/,"Restoring native forest with Ban Mae Sa Mai Village, Chiang Mai, Thailand",1997,Thailand,Agroforestry,"The project demonstrated that the framework species method can effectively restore forest biodiversity and ecosystem services within a relatively short timeframe, benefiting local wildlife and communities, enhancing social cohesion, and fostering positive external relationships.","Key lessons from the restoration initiative emphasize the importance of integrating social, economic, and political frameworks that recognize the value of forests and reward restoration efforts; promoting restoration as a viable livelihood; adapting project goals to the evolving aspirations of rural populations; leveraging restoration projects for controlled experimentation and adaptive management; and engaging diverse community members to harness a range of skills and perspectives.",18.80070462,98.91997774
21,Case Study,https://crowtherlab.com/wp-content/uploads/2021/12/In-brief-Case-6-Shouf_Lebanon_1Nov_Summary_PDF.pdf,"Forest and Landscape Restoration for livelihoods and biodiversity in the Shouf, Lebanon ( Al-Shouf Cedar Society -ACS)",2005,Lebanon,Agroforestry,"The ACS effectively utilized pilot projects and demonstration plots to showcase intervention outcomes, which encouraged farmers to restore terracing and plant trees on private lands, influenced government management of overstocked forests, and shaped policies for future interventions; success hinged on building capacity and support for all stakeholders throughout the restoration process, including high-quality seedling production and market access for tree-based products, facilitated by a three-tiered governance structure that ensured coordination and responsiveness to local needs.","Pilot and demonstration sites are vital for engaging stakeholders and promoting the spread of forest landscape restoration (FLR), which should be economically sustainable with continuous support and capacity development, while emphasizing an iterative learning process and delivering simultaneous economic, social, and environmental benefits from the outset.","33.68274384	",35.6955578
22,Case Study,https://crowtherlab.com/wp-content/uploads/2021/12/Case-7-Shinyanga_29Oct_Summary_PDF.pdf,"Reviving traditonal land-use practices to restore landscapes and livelihoods in Shinyanga, Tanzania (HASHI)",1986,Tanzania,Agroforestry,"Devolving decision-making to village institutions through HASHI enhanced local responsibility for managing Ngitili and other natural resources by transferring forest management duties from the central government to village governments, integrating traditional knowledge with agroforestry practices, and empowering local communities to make decisions and implement restoration efforts.","Listening to the local communities and leveraging their knowledge is essential for effective restoration, as decentralizing land management empowers local leadership, fosters long-term planning for sustained financial support, strengthens stakeholder relationships, and highlights the importance of women as key beneficiaries of Ngitili tree products.",-3.673539945,32.77052762
23,Case Study,https://crowtherlab.com/wp-content/uploads/2022/05/In-Brief_Case-11_ACG_final_19Feb_Summary.pdf,"Bio-cultural restoration of Área de Conservación Guanacaste (ACG), Costa Rica",1985,Costa Rica,Agroforestry,"The formation of ACG marked a significant shift toward community-based conservation and management through strategic land purchases, government collaboration, fire elimination, local employment, and education, ultimately creating and protecting habitats for native species while engaging local communities in conservation efforts and fostering natural forest regeneration to restore and connect forest ecosystems.","Long-term conservation and restoration efforts depend on the active cooperation and engagement of stakeholders at all levels, emphasizing the protection of remaining habitats, the strategic growth of protected areas for ecological integrity and climate resilience, and the importance of bioliteracy education to enhance understanding of biodiversity's value to society.",10.83931152,-85.61932847
25,Case Study,https://crowtherlab.com/wp-content/uploads/2022/12/Case-13_NepaI_Summary.pdf,Rupa Lake: Restoring communal fisheries and landscapes in the Nepalese Himalaya,2001,Nepal,Agroforestry,"The community engaged in two key activities, creating a comprehensive management plan with detailed forest resource mapping and establishing a Village Savings Group to ensure financial sustainability for local mangrove conservation, leading to the adoption of proactive restoration principles that reflect the villagers' socio-environmental goals, while fostering partnerships and enhancing their capacity as change-makers and conservation leaders in the broader Pred Nai and Trat Province areas.","Fundamental livelihood needs can motivate local communities to collectively protect and restore ecosystems, with partnerships and institutional linkages playing a crucial role in ensuring the sustainability of these efforts, while locally initiated restoration and resource management can alleviate poverty, enhance social equity, and facilitate climate mitigation and adaptation by leveraging community knowledge and integrating both scientific and local ecological insights.",28.145394399447987,84.11450261183587
27,Case Study,https://crowtherlab.com/wp-content/uploads/2022/12/Case-15_Scolel-Te-Mexico_Summary.pdf,"Scolel’te: Marketing carbon to support smallholder-based agroforestry and reforestation in Chiapas, México",1997,Mexico,Agroforestry,"Cooperativa AMBIO, a locally based NGO, operates the Scolel’te program, which provides technical support, sells carbon certificates, and distributes payments for environmental services to participants, benefiting over 1,439 households and 17 community groups across 111 rural and indigenous communities, conserving more than 9,668 hectares of forests and capturing over half a million tons of carbon dioxide for 3,334 families.","Integrating carbon sequestration into regional production systems enhances socio-economic, cultural, and environmental benefits, while reforestation is more likely to succeed when it addresses local needs and increases production; successful outcomes in neighboring farms motivate participation, and effective local organizations are key to community-based carbon credit programs.",16.514050735804176,-92.54757249
38,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter1_case_study1.pdf,Landscape Land Use Planning : Lessons Learned from the Maiko - Tayna Kahuzi-Biega Landscape,2003,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"Key interventions for sustainable natural resource management include establishing protected areas, enhancing community management of forests and agriculture for local benefit, supporting policies for CBNRM and decentralization, strengthening civil society advocacy, and building human resources for effective governance.","Effective landscape planning builds on local initiatives and adapts to local contexts, with capacity-building as a precursor to broader land-use planning; macro-zones should align with administrative boundaries, evolve over time, and extend beyond simple buffer zones to guide sustainable resource management across the landscape.",-2.284674754,28.721679348971527
39,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter1_case_study2.pdf,Landscape Land Use Planning : Lessons Learned from the Sangha Tri National Landscape,2005,Republic of Congo,Biodiversity conservation and natural resource management,"Forestry accounts for a major portion of the TNS economies, with a mandated 10% revenue share intended for local communities—though, due to weak benefit-sharing and illegal practices, they receive far less. Addressing this imbalance is crucial for social cohesion and sustainable landscape management, highlighting the urgent need for dialogue among conservationists, political leaders, communities, and the private sector.","Land-use planning in the TNS Landscape required gradual adaptation as policies evolved, with varied national laws underscoring the need for harmonized cross-border regulations. Effective planning relies on unified policies, trust among partners, and equitable benefit-sharing to manage resources and curb illegal trade.",1.3125062974856436,14.89906232989012
40,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter1_case_study3.pdf,Landscape Land Use Planning : Lessons Learned from the Maringa - Lopori -Wamba Landscape,2004,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"At the start of Phase 2, MLW prioritized increasing stakeholder understanding of landscape-level planning, establishing the Faunal Reserve of Lomako Yokokala, and zoning 40% of the Landscape. Workshop participants agreed to support agricultural development and market access to reduce bushmeat hunting pressure, protect the Lomako-Yokokala forest, and adapt objectives based on participatory data, including cancelling an unsuitable hunting forest plan.","The Heartland Conservation Process aligns well with LLUP, emphasizing consortium building through thematic strengths, strong ownership from the outset, a Public Participation Strategy, focal points connecting local stakeholders and partners in Kinshasa, regular review of vision and objectives, and creative use of geospatial tools.",1.816203853347541,22.41278700389103
41,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter2_case_study1.pdf,Protected Area Land Use Planning : Lessons Learned from the Okapi Faunal Reserve,2005,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"In collaboration with local communities, eleven agricultural zones covering 30,700 ha have been designated, and participatory mapping has delimited hunting territories over 195,000 ha for six villages. Key large mammal populations, including forest elephants, okapi, and chimpanzees, were surveyed in the proposed conservation core, where faunal abundance remains highest, with elephants concentrated in less-poached southern areas and monkeys more abundant near agricultural zones.","Zoning can help secure indigenous land rights on settlement frontiers, but effective sensitization and communication are essential to prevent misconceptions and build understanding.",1.671144568216022, 28.487593530373466
42,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter2_case_study2.pdf,Protected Areas Land Use Planning : Lessons Learned from the Lobéké National Park,1998,Cameroon,Biodiversity conservation and natural resource management,"In 2002, a deal between the forest administration and logging companies led to investments in anti-poaching and community projects, including waste wood collection and infrastructure. By 2007, three companies committed to monthly funding for anti-poaching, and a management committee for Lobéké National Park was established to oversee park operations.","An open dialogue and collaboration among stakeholders can help create a land-use plan where non-conflicting activities overlap, increasing the chances of success by focusing on shared interests rather than exclusive land-use rights.",2.274886827308371,15.702829620916368
43,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter2_case_study3.pdf,Protected Areas Land Use Planning : Lessons Learned from the Tayna Community-Managed Nature Reserve,2002,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"The grass-roots community conservation experiment, led by the Tayna Reserve, has expanded to seven sister projects in eastern DRC, forming the UGADEC Federation. Elements of the Tayna model were also used to create the Sankuru Nature Reserve, and in Equateur Province, a similar approach by Vie Sauvage is leading to the establishment of the Kokolopori Bonobo Nature Reserve, with the Ministerial Decree pending signature.","Support local initiatives after feasibility studies to ensure appropriate investment in conservation outcomes, while maintaining an apolitical stance in areas of civil strife. Hire and train local staff, including former hunters, and assist NGOs with standardized education and sensitization. Encourage participatory zoning for nature reserves, ensuring community input and flexibility in boundary determination. A priority for community-managed protected areas should be to physically demarcate their boundaries.",-0.347526329,28.933567864257355
44,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter3_case_study1.pdf,Forest Concession Land Use Planning : Lessons Learned from the Cameroon Segment of the Sangha Tri- National Landscape,1999,Cameroon,Biodiversity conservation and natural resource management,"The agro-forestry zone expanded from 224,000 ha to 273,092 ha, and the extractive zone was redesignated. Forest concession boundaries were revised, increasing the total area to 980,371 ha. Lobéké National Park grew from 208,559 ha to 217,332 ha, and local communities' traditional rights were reinstated, including NTFP use in the park.","Collaboration among stakeholders can create a land-use plan where non-conflicting areas overlap, promoting compromise. The gazetting of forest concessions shows that multi-stakeholder engagement resolves conflicts, consolidates resource rights, and fosters long-term commitment to conservation.",1.840383018138971,16.075670218136533
45,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter3_case_study2.pdf,Forest Concession Land Use Planning : Lessons Learned from the Enzyme Refiners Association (ENRA) Forest Concession,2005,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"WCS, initially viewed with suspicion by ENRA, gained trust after demonstrating its positive impact on the company's reputation.  WCS overseeing all zoning work in the ENRA concession. A strategy document outlining the land-use planning process has been produced and approved, with plans for a forest concession management plan by 2010.","Active involvement of the concessionaire and key state authorities is crucial in land-use planning. Understanding both traditional and legal land tenure systems is essential, as is considering the regional context to ensure effective planning.",2.8487982335426407,30.83759273978645
46,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter3_case_study3.pdf,Forest Concession Land Use Planning : Lessons Learned from Congolaise Industrielle des Bois (CIB) –PROGEPP Project,1999,Republic of Congo,Biodiversity conservation and natural resource management,"Three forestry concessions (including the Kabo and Pokola concessions) have now been certified by the FSC in central Africa, and several companies have committed to seeking certification in the coming years.","Land-use planning should involve multiple actors, be data-driven, and balanced with economic and social needs. It should be formalized, with clearly defined roles for each stakeholder.",2.5853722471064025,16.631088179648298
47,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter4_case_study1.pdf,Community-Based Natural Resource Management Land Use Planning : Lessons Learned from the Lac Télé Community Reserve,2005,Republic of Congo,Biodiversity conservation and natural resource management,"The goals achieved were creating a sense of ownership over territories among local communities, encouraging long-term natural resource management, ensuring security of tenure for communities over their traditional territories, and reducing the threat of marginalization or eviction from external forces such as immigrants, politicians, and commercial interests.","The indigenous Bomitaba, who make up 90% of the population, have strong incentives to manage the reserve sustainably due to their long history in the area and customary laws, with technical support from WCS and MEF; immigration is unlikely due to limited land availability and widespread flooding, and local resource management ensures that fisheries and hunting are sustainable, with limited room for expansion.",1.3243691363301306,17.116139136306213
48,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter4_case_study3.pdf,Community-Based Natural Resource Management Land Use Planning : Lessons Learned from the Monkoto Corridor CBNRM Zone,2006,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"In 113 villages, 205 volunteer ""environment counsellors"" link communities with WWF, ICCN, and partners, helping 62 villages form committees to manage resources and develop community plans for the Monkoto Corridor CBNRM zone.",Effective land-use planning in CBNRM zones can help reduce poverty by securing community rights through contracts or concessions. Building local capacity for national dialogue and developing targeted strategies to ensure women's participation are crucial for empowering communities and supporting sustainable management.,-1.548635502,20.74606322956998
49,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter5_case_study1.pdf,The Role of Alternative Livelihoods in Conservation : Lessons Learned from the Creation of the Community- Managed Tayna Center for Conservation Biology,2003,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"The university boosts local healthcare, education, agriculture, and pride while training the next generation of UGADEC reserve stewards. Estimated at around $3,000 per student, it offers a cost-effective, conservation-focused education, blending development with biodiversity conservation.","Foster community ownership in projects. Empower women and marginalized groups through higher education. Ensure early revenue sustainability with a business plan and diverse funding. Build campuses in expandable modules, and consider micro-zoning as local development increases.",-11.00980387,27.757787574762474
50,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter5_case_study2.pdf,The Role of Alternative Livelihoods in Conservation : Lessons Learned from the Maringa-Lopori-Wamba Landscape,2005,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"Effective public participation involves genuinely considering local community concerns, accurately identifying livelihood needs, such as prioritizing market access over cash crops, and fostering community ownership of livelihood interventions. Sustainability links these needs to natural resource management.","A Public Participation Strategy is essential from the start, linking livelihoods to conservation explicitly. A ""people-centered approach"" requires openness to human error and creates opportunities for local NGOs and communities to develop and test their ideas with growing independence.",1.6823341518768953,22.376408951056032
51,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter5_case_study3.pdf,The Role of Alternative Livelihoods in Conservation : Lessons Learned from the Lakolama Area of the Salonga-Lukenie-Sankuru Landscape,2006,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"In the Lokolama sector, key activities include agriculture, bushmeat trade, seasonal fishing, and limited trade in manufactured goods. Locals mainly sell bushmeat to Kasai traders, while traveling salesmen supply essential items. A trade network survey helped develop a shared understanding of local economic conditions.","Without supportive measures, grassroots communities enthusiastic about integrated natural resource management may become disillusioned. Their focus on daily survival often outweighs conservation concerns. Improved transportation and trade opportunities are vital for these communities, and structuring and institutionalizing them is crucial for the success of any alternative project.",-0.284295214,18.225980447669663
52,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter6_case_study1.pdf,The Promotion of a National Policy and Governance Agenda for Conservation : Lesson Learned from Cameroon,1992,Cameroon,Biodiversity conservation and natural resource management,"Cameroon's 1994 Forestry Law needs revision to support indigenous rights and address sector impacts like mining. Audits of forestry taxes and Environmental Impact Assessments are essential. Conservation relies on short-term international funding, so strengthening self-financing mechanisms like the PSRF is crucial for sustainability.","Good governance in natural resource management (NRM) is weak, hindering the forest sector. Strengthening the legal framework and improving CSO capacity are key, with CARPE funding targeted activities for policy reform. Decentralized management can succeed if local elites don't block participation. MPs should hold the government accountable, and local radio stations need more support to enhance governance.",5.373071797988908,12.797554463840262
53,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter6_case_study2.pdf,The Promotion of a National Policy and Governance Agenda for Conservation: Lessons Learned for Gabon,1995,Gabon,Biodiversity conservation and natural resource management,"The shift toward sustainable natural resource management is irreversible, with local communities playing a key role. Civil society should build community capacity for effective participation. Involving all stakeholders in creating legal frameworks ensures the success of conservation projects and should be expanded to other ministries. Forest management requires state-level commitment to protect shared resources.","Decisions ignoring local community interests and economic realities are likely to fail. Information campaigns are essential for law adoption, and partnerships with the administration are crucial. NGOs face vulnerability due to unsustainable funding, and the law implementation process is slow, with politics and economics often taking precedence over conservation needs.",-0.746997306, 11.754506634418101
54,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter7_case_study1.pdf,The Use of Small Grants to Build Civil Society Capacity to Support Conservation : Lessons Learned from Cameroon,1998,Cameroon,Biodiversity conservation and natural resource management,A small grant policy and procedure manual has been created for local NGOs working on natural resources governance.,The manual helps civil society create strong project proposals. The Small Grants Program fosters gender equity and supports a regional network of women translating and sharing the Forestry Code. The two-tier selection process ensures transparency and avoids funding duplication by involving other donors in the National Steering Committee.,5.373071797988908,12.797554463840262
55,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter7_case_study2.pdf,The Use of Small Grants to Build Civil Society Capacity to Support Conservation : Lessons Learned from Rwanda,2007,Rwanda,Biodiversity conservation and natural resource management,"The Small Grants Program has helped address the need for reforestation and afforestation by enabling local communities to reforest 60 ha of bamboo and encouraging 40 primary school pupils to plant 18,000 tree seedlings across four hectares. With proper guidance, these students represent a valuable long-term resource for forest conservation.","The Small Grants Program can effectively mobilize CSOs and raise awareness on sustainable resource management. In Rwanda, it helps address deforestation and soil degradation, key CARPE goals. Increasing grant sizes and support is needed to meet growing demands, such as bamboo and rattan in Nyaruguru District.",-1.954507546,30.02573113385984
56,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter7_case_study3.pdf,The Use of Small Grants to Build Civil Society Capacity to Support Conservation : Lessons Learned from Republic of Congo,2006,Republic of Congo,Biodiversity conservation and natural resource management,"The Small Grants Program, though considered a small sub-program, has proven its value and efficiency. It has improved the public’s perception of conservation projects, with local communities actively contributing. Increasing the program’s size would help sustain and expand its positive impact on conservation efforts.","Successful conservation projects align with local practices and meet community needs. Small, resource-efficient initiatives can be more impactful than large ones. In Congo, despite heavy funding, poaching persists due to outdated approaches and a lack of true community involvement.",-0.827387008,15.477803578378579
57,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter7_case_study4.pdf,The Use of Small Grants to Build Civil Society Capacity to Support Conservation : Lessons Learned from Gabon,1995,Gabon,Biodiversity conservation and natural resource management,"National environmental NGOs in Gabon, when organized into a platform, have gained more influence, allowing them to represent environmental concerns in national decision-making bodies. Their efforts led to the revision of the Belinga iron mining project to include an environmental impact assessment and raised concerns about the destruction of the Mondah Gazetted Forest for a new airport, which would also affect the Akanda National Park.",Local NGOs in Gabon are criticized by authorities as politically motivated or dependent on international partners. They are also seen as weak and under-resourced by development partners. The Small Grants Program shows that more financial support and technical guidance are needed. Improved coordination and a project development fund by COMIFAC could strengthen national NGOs' capacity for sustainable natural resource management.,-0.746997306, 11.754506634418101
58,Case Study,https://carpe.umd.edu/sites/default/files/documents/lessons_learned/lessons_learned_chapter7_case_study5.pdf,he Use of Small Grants to Build Civil Society Capacity to Support the Conservation of Natural Resources : Lessons Learned from Democratic Republic of Congo,2000,Democratic Republic of Congo,Biodiversity conservation and natural resource management,"The Small Grants Program (US$15,000–40,000) has effectively strengthened civil society organizations by raising awareness, promoting income-generating activities, and integrating gender considerations. These efforts, including legal education and biodiversity protection, fill gaps often overlooked by international and government partners in conservation and resource management.","Translating the Forestry Code into Lingala and using visual aids has educated local communities, boosting law enforcement and reporting of poaching. The Small Grants Program has also fostered collaboration between civil society and government, with NGOs like SOS Nature helping manage wildlife resources and reduce poaching by training local communities.",-3.031171363,23.691806445869478
13,Case Study,https://projects.worldbank.org/en/projects-operations/project-detail/P151363,Climate Adapation and Mitigation Program for Aral Sea Basin (CAMP4ASB),2015,"Kazakhstan, Kyrgyz Republic, Tajikistan, Turkmenistan, and Uzbekistan",Climate action,"Kazakhstan's Kok-Aral Dam has partially restored the North Aral Sea, benefiting local fisheries and lowering salinity, while Uzbekistan's large-scale afforestation projects have stabilized extensive areas of the dried seabed, reducing dust storms and enhancing soil quality.","The importance of regional collaboration for climate resilience, integrating local knowledge in climate adaptation practices, and ensuring flexible, community-driven approaches to effectively address diverse environmental challenges across Central Asia.",42.28211120307477,66.06281941
26,Case Study,https://crowtherlab.com/wp-content/uploads/2022/12/Restor_Case_Study_Case-14_Ashland-Forest_High_Rez.pdf,"Restoring forests and public trust in Oregon, USA with the Ashland Forest Resiliency Project ",2010,USA,Controlled underburning ,"A ""shared stewardship"" approach enabled partners to leverage significant co-investment and capacity, resulting in the expansion of forest restoration programs to private lands, increasing the project area from 8,900 to 21,400 hectares, and extending fuel reduction treatments to 5,868 hectares, which covered 28% of the expanded project area by 2018, including controlled underburning on 607 hectares.","Transparency and trust are fundamental to all-lands management, which requires flexible restoration implementation in response to evolving environmental and social conditions, along with strong collaborative arrangements to identify constraints and leverage strengths, clear communication with landowners and the community to align project objectives with needs, and funding that supports both restoration costs and the local workforce.",42.13915307190149,-122.6231628
