Article type,Article source,DOI,Title,Year,Language,Coordinates,Geographical location,Country,Scale,Theme,Infectious disease,General disease,Disease by transmission type,Pathogen group,Vector/reservoir/host,General Vectors,Method to assess disease risk,Ecosystem,Recommendations proposed,Research type,Knowledge areas,Type of Restoration,Impact of landscape degradation on disease,Impact of landscape restoration on disease,Impact on human-wildlife interactions,Evidence for Landscape restoration on disease outbreaks,Evidence for Landscape degradation on disease outbreaks,Evidence for effects on human-wildlife interactions,Are Socioeconomic factors taken into account,Limitations and challenges,Knowledge gaps/future research,Recommendations and proposed solutions,Risk of bias,Imprecision,Inconsistency ,Reporting bias,Quality of evidence (GRADE),Reviewer assigned,Reviewer Confidence,Reviewed,Conflict of interest
Original article,Web of science,10.1353/pbm.2014.0015,OF MICE AND MEN Lyme disease and biodiversity,2014,English,no,Global,Global,Global,Dilution effect,Lyme disease,Lyme disease,Vector-borne,bacteria,Ticks,Ticks,Historical data,Terrestrial,No,Review,Lessons learnt,Species Removal,Indirect,No,None,NA,"More biodiversity does not necessarily always decrease risk of zoonotic infection. In fact, biodiversity under some circumstances can theoretically increase disease in humans (Keesing, Holt, and Ostfeld 2006). The extent to which biodiversity and the dilution affect is associated with disease prevalence is not well understood in a variety of disease systems and is an area of active research. There may be zoonotic infections that are not affected by levels of biodiversity, or only affected by certain threshold levels. To date, most studies of disease systems show that increasing biodiversity is more likely to dilute disease rather than to amplify it, but one should be cautious in applying dilution theory to specific disease systems without evidence. Furthermore, the principles of network science would anticipate that the relationship between biodiversity and disease prevalence might be nonlinear. However, in the case of Lyme disease, and for other infectious diseases, the reservoir species that are best at infecting vectors also tend to be the species that remain, or even thrive, as biodiversity is lost, whereas those less able to transmit pathogen tend to disappear (Keesing et al. 2010; Ostfeld and Holt 2004). Finally, suburbanization is a factor in the emergence and increasing incidence of Lyme disease. White-footed mice succeed in diverse habitats, from urban to rural, and because of their adaptability are considered ecological generalists. Their adaptive advantage makes them highly abundant in ecosystems in which habitats are fragmented and food, climate, or other essential resources are too variable to support other species that may have more specific needs. Although, overall, more trees are alive in New England than at any point since colonists arrived, New England’s forests are fragmented with roads, buildings, farms, suburban tracts, and other development that limit the extent and integrity of habitats. Larger forest fragments tend to support greater species diversity and reduce the relative abundance of white-footed mice in comparison to less competent, or incompetent, spirochetal reservoirs. As species are lost and biodiversity decreases, white-footed mice are represented in higher numbers compared with other species (Nupp and Swihart 1998). Both the overall density of nymphal ticks and the density of nymphal Ixodes ticks harboring Borrelia spirochetes are inversely related to forest patch size (Allan, Keesing, and Ostfeld 2003). Conversely, white-footed mice represent a smaller proportion of animals in a species-rich environment. And given that the whitefooted mouse is the principal natural reservoir for Lyme disease spirochetes and a highly competent host for blacklegged ticks, the addition of other less competent or incompetent hosts “dilutes” the representation of the mouse population, and a smaller proportion of ticks will be expected to carry Borrelia spirochetes.",NA,NA,NA,NA,NA,Medium,,Medium,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1371/journal.pone.0085725,"Influence of Deforestation, Logging, and Fire on Malaria in the Brazilian Amazon",2014,English,no,"Legal Amazon region, Brazil",Brazil,Multi-region,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Malaria,Malaria,Vector-borne,protozoan,Mosquito,Mosquito,Historical data,Terrestrial,Yes,Field study,Knowledge gaps,Other,Direct,No,None,NA,"""In the Peruvian Amazon, the degree of deforestation was shown to be associated with the biting rate of A. darlingi [13], and complementary larval studies point to an increase in preferred breeding habitat as the likely ecological mechanism [14]."" ""Studies cite an increase in larval breeding sites as the ecological link leading to an increase in A. darlingi (and subsequent malaria transmission), due to the species’ preference for a combination of shade and sunlight, deep, clear water with vegetation, and neutral to high pH [16]–[18], conditions generally found at forest margins rather than within an intact forest [19], [20]."" ""Our results confirm our second hypothesis that forest disturbances from roads, fire, and selective logging increase malaria risk in a municipality."" Our finding that unpaved road density was most important as a predictor of malaria incidence in areas with high levels of deforestation suggests that as forest extraction activity expands around these new access points, malaria risk will likewise increase due ecological disturbance from deforestation and the road construction itself. ",NA,"""We controlled for several sociodemographic risk factors for malaria in the Amazon. Occupational risks were measured using a ratio of male-to-female inhabitants in the municipality and the percent of the population that worked primarily in outdoor occupations such as agriculture, forestry, or fishing and hunting."" ""Socioeconomic status of households was measured using data from the 2000 census on the average number of people living in a household, the percent of the population who receive at or below minimum wage each month, and the percent rural and indigenous populations in each municipality.""","""The unit of analysis for this study was the municipality. On one hand, this made a basin-wide analysis feasible, but it also prevented controlling for individual level risk factors and exploring finer scale relationships between forest disturbance and malaria."" ""Additionally, although Brazil has a highly developed malaria surveillance system, we were not able to control for differences in surveillance intensity or quality across the Amazon."" ""This may explain some of the discrepancy between deforestation rates and malaria incidence at the municipality level if a substantial number of cases are exposed while working in heavily deforested areas outside of their municipality of residence."" ""Our analysis was not spatially explicit. If high levels of deforestation occurred in a remote area of a municipality with few inhabitants while a large urban center nearby had low levels of malaria, our aggregated municipality level results might show that high deforestation rates are associated with low malaria risk.""","""Future research should assess rates of evapotranspiration, water accumulation, and larval breeding densities across a gradient of logging intensity."" ""Additionally, although high-impact logging practices may initially decrease viable mosquito breeding habitat, the impact of forest regrowth on vector density is unknown."" ","""As our capability to monitor forest changes via satellite continues to improve and malaria data become more readily available at finer spatial scales, these methods can provide a foundation for near real-time monitoring of disease spread to focus public health control efforts."" ""An implication of these linkages is that monitoring road construction might be an immediate and practical proxy approach to identify high-risk malaria areas until malaria data are continuously available at a sub-municipality scale or deforestation can be detected at a fine enough scale across a large enough extent to monitor malaria risk associated with deforestation throughout the Amazon Basin.""",Medium,Low,,Low,High,AF,High,TRUE,FALSE
Original article,Web of science,10.4269/ajtmh.13-0256,The Role of Landscape Composition and Configuration on Pteropus giganteus Roosting Ecology and Nipah Virus Spillover Risk in Bangladesh,2014,English,yes,"Nipah belt, Bangladesh",Bangladesh,Regional,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Nipah virus,Nipah virus,Zoonoses,Virus,Fruit bat,Bats,Environment sampling,Terrestrial,Yes,Field study,Knowledge gaps,Other,Direct,No,Direct,NA,"""Our study shows that villages inside the Nipah Belt of Bangladesh have significantly higher human population density and forests that are more fragmented than in the rest of the country."" ""The finding that human population density correlates with spillover risk is not unexpected; but has not been previously shown. However, our finding that landscape factors also correlate with Nipah virus spillover risk is novel and suggests that these factors could be used to understand the distribution of Nipah cases in other regions."" ""Our study also shows that the roosting ecology of P. giganteus is associated with forest fragmentation, and that canopy density and tree species composition in roosts and degree of forest fragmentation in a village are associated with Nipah virus spillover."" ""As the Bangladeshi population continues to grow to over 200 million by 2050, more undisturbed forest areas will become sites for homesteads and expanding villages. Ecosystem and land-use changes have played a significant role in infectious disease emergence and re-emergence in humans, including malaria, yellow fever, hantavirus, leishmaniasis, and hemorrhagic fevers.""","""The result could be an increase in the prevalence of acute infections of bats living near these food resources and increased likelihood of spillover to humans when bats drink from date palm sap containers."" ""The presence of bat roosts in close proximity to human settlements increases the likelihood of human-bat interactions, which can facilitate disease transmission.""",NA,"""We limited field data collection to December through early February to measure the environment in villages during the season when most human cases have been identified."" ""The resolution of our satellite-derived forest cover map was 250 m, which made it difficult to identify small forest patches."" ""If small patches were misclassified as non-forest, particularly in areas with highly fragmented forests, then our fragmentation measures would be underestimated and the association between fragmentation, spillover status, and bat roost abundance would have been conservative."" ""We relied on community members to identify and locate roosts. It is possible that we missed isolated roosts of which respondents were not aware, which would underestimate the number of roosts in less populated areas, like those in regions outside the Nipah Belt, perhaps making the number of roosts inside and outside the belt more comparable.""","Even though the precise mechanism is unknown, perhaps the fragmented forest landscape increases overlap between human and bat food resources, specifically in a region of high human population density. Although there have been attempts to track Pteropus spp. movements away from the roost,25–27 more research is needed to quantify P. giganteus foraging behavior in fragmented and biologically diverse landscapes as well as seasonal foraging distance to test this hypothesis.","""Future assessments should assess differences in P. giganteus feeding behavior across gradients of forest fragmentation. Second, forest fragmentation could affect Nipah transmission within the P. giganteus population if roost colony size affects intra-population virus transmission dynamics. "" ""Future research should assess virus prevalence in roosting colonies with different sized populations and whether these roosting colonies represent distinct metapopulations or artificial divisions within a single colony to understand these relationships.""",Medium,Medium,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1089/vbz.2013.1477,Land Use Patterns and the Risk of West Nile Virus Transmission in Central Illinois,2014,English,yes,"Champaign county, Illinois",USA,Local,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,West Nile virus,West Nile virus,Vector-borne,Virus,Mosquito,Mosquito,Environment sampling,Terrestrial,No,Field study,Knowledge gaps,Other,Direct,No,None,NA,"""The proportion of infected mosquitoes in forest fragments was significantly greater than in the agricultural and prairie landscape categories, but it was not different from the residential category"" ""The results support the hypothesis that land use patterns in a moderate-sized urban area (Urbana-Champaign) of central Illinois do affect species diversity and abundance in different land use categories. Species diversity was significantly higher in forest habitats compared to residential, agricultural, and prairie land use categories in both CDC light trap and infusion-baited gravid trap collections"" ""WNV-infected mosquito pools were observed in all land use types, and the infection rates overlapped among land use categories. However, the number of WNV-infected mosquitoes per trap site was two- to four-fold higher at the University of Illinois South Farms wood lot (Forest 1) compared to the other sites. This was atypical and may reflect the closeness of this site to residential areas, a dairy cattle farm, and a local abundance of artificial containers in the area (Morris et al. 2007).",NA,NA,"This was atypical and may reflect the closeness of this site to residential areas, a dairy cattle farm, and a local abundance of artificial containers in the area (Morris et al. 2007). Once this outlier was excluded from the analysis, the residential sites had the highest number of infected mosquitoes, although not significantly different from the agricultural land use category. ""The lack of rainfall during these months probably biased species distributions, and the reduction in overall larval habitats may be partially responsible for the presence and dominance of Cx. pipiens across all land use categories.""","Future research in these environments may address questions, including whether mosquito blood meal host diversity varies similarly with land use history and structure and whether the results of this study can be generalized to regions under different weather and climate conditions.",NA,Medium,Low,,Low,High,AF,High,TRUE,FALSE
Original article,Web of science,10.1073/pnas.1404958111.,Declines in large wildlife increase landscape-level prevalence of rodent-borne disease in Africa,2014,English,yes,"Mpala research centre, Kenya",Kenya,Local,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Bartonella infection,Bartonella infection,Zoonoses,bacteria,"Mearns’s pouched mouse, fleas",Rodents,Population screening,Terrestrial,Yes,Experimental,Knowledge gaps,Species Removal,Indirect,No,None,NA,"Treatments in which we simulated the loss of large wildlife demonstrated strong and consistent elevation (compared with control treatment) in total rodent density per unit area, despite pronounced seasonal variation in rodent abundance (Fig. S1; F1,4 = 54.9, P < 0.01). Bartonella prevalence in hosts did not differ significantly between treatments with and without wildlife (Fig. S3; F1,4 = 0.4, P = 0.55), although it did vary across sampling periods. In contrast to these results, the abundance of Bartonella-infected hosts varied strongly by treatment (Fig. 3B; F1,4 = 19.3, P = 0.01), with roughly twice as many infected hosts in plots where wildlife had been removed, due entirely to the higher density of rodent populations. ",NA,NA,"The conclusion that wildlife decline causes a substantial increase in Bartonella risk assumes that abundance of infected hosts and vectors is the best metric of disease risk. Using per capita prevalence responses would have led to a conclusion of no effect. Clearly, the choice of prevalence metric can produce qualitatively different outcomes and emphasizes the importance of including infected host and vector abundance as a response metric (62). We suggest that per capita prevalence, sometimes used in the discussion of negative biodiversity relationships through transmission interference (24), may not be the most relevant metric to many real world disturbance–disease relationships.","Although abundance of infected vectors is likely a better response metric than per capita prevalence, there are still many questions that need to be answered to assess if this change in abundance of infected vectors will translate to a proportionate increase in human disease in those anthropogenic settings. There are also outstanding questions about human vector contact. The most common flea in this study, X. cheopis, is a known generalist that can feed on humans and effectively transfer other pathogens (58). Because fleas are also known to transmit Bartonella spp. to humans, it seems likely that fleas in this system will be able to transmit Bartonella spp. to humans. However, the effectiveness and frequency of X. cheopis or X. sarodes transmission of Bartonella spp. to humans remain undetermined.","These results suggest that size-selective animal loss may have a major impact on global risk of rodent-borne diseases. We suggest susceptible host regulation may be an underappreciated ecological function of the preservation of intact mammalian communities. Further research on other rodent-borne pathogens, particularly with alternative transmission pathways (e.g., direct transmission) or with higher host specificity (66), will be critical to assessing the generality of our findings.",Medium,Medium,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1177/1010539512471965.,Mapping Risk of Nipah Virus Transmission Across Asia and Across Bangladesh,2015,English,no,South/South-east Asia,"India, Bangladesh, Malaysia, China",Multi-region,Disease dynamics at the human/wildlife/livestock/ pathogen interface at degraded landscapes,Nipah virus,Nipah virus,Zoonoses,Virus,Fruit bat,Bats,Historical data,Terrestrial,No,Field study,Model,Other,Not Applicable,No,None,NA,NA,NA,NA,"""Parallel analyses without the 4 Chinese records similarly failed to achieve statistical significance (all P >> .05), although in this case surely owing to small sample sizes (N = 4)."" ""Outside of Bangladesh and peninsular Malaysia, very little is known of these viruses, save for a few detections, such as in Cambodia."" ""The paucity of spatial occurrence information across this broad geographic extent translates into poor calibration of ecological niche models...""","""Detailed ecological studies of the bats and infection rates in regions of high and low suitability for Nipah virus are clearly in order."" ""A more detailed understanding of Nipah virus etiology, however, is probably linked to the details of biodiversity landscapes and human cultures.""",NA,Medium,High,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1371/journal.pone.0141519,Evidence for the Convergence Model: The Emergence of Highly Pathogenic Avian Influenza (H5N1) in Viet Nam,2015,English,no,Vietnam,Vietnam,Multi-region,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Highly Pathogenic Avian Influenza (HPAI) subtype H5N1,HPAI,Zoonoses,Virus,Poultry species,Birds,Modelling,Terrestrial,Yes,Field study,Model,Other,Direct,No,None,NA,"The results presented here highlight three main findings: 1) when relevant risk factors are taken into account, urbanization is generally not a significant independent risk factor; but in peri-urban landscapes emergence factors converge, including higher levels of chicken densities, duck and geese flock size diversities, and fraction of land under rice or aquaculture; 2) high land-use diversity landscapes, a variable not previously considered in spatial studies of HPAI H5N1, are at significantly greater risk for HPAI H5N1 outbreaks; as are 3) landscapes where intensive and extensive forms of poultry production are co-located. We found in the main river deltas in Viet Nam (Red River and Mekong), urbanization had no significant association with HPAI H5N1. This may be due to the fact that the deltas are more homogenous, in terms of urbanization, than the country as a whole.",NA,"""We suggest that national census data (particularly agricultural censuses) compiled at local levels of administration provide valuable information that are not available from remotely sensed data (such as poultry densities) or require a large amount of labor to map at national to larger scales (land-use diversity).""","""Improving model performance for smaller regions would require highly refined and nuanced metrics for poultry trading, road infrastructure, water bodies, etc.—data that are typically not available through census surveys."" Though that study’s model initially included three dozen commonly known risk factors, the significant risk factors were limited to poultry flock density, proportion households with electricity, re-scaled NDVI median May-October, buffalo density and sweet potato yield. ","""The differences between the national and regional models suggest that our results can inform planners making decisions at different hierarchical levels of jurisdiction: national, region and local.""  ""Our work has demonstrated that the percentage of land under rice in peri-urban areas and rural areas is similar. Hence diseases associated with rice production are likely to peak in peri-urban areas given other risk factors such as land-use diversity, CTI, and distance to infrastructure.""","""Planners need better tools for mapping the rural-urban transition, and for understanding how the specific nature of peri-urban environments creates elevated health risk that require adaptation of existing planning, land use, and development practices."" ""Future studies, however, could examine the correlation between a census-based metric with metrics derived from remote sensing used to measure proportional abundance of each land-cover type within a landscape.""",Medium,Low,,Low,High,AF,High,TRUE,FALSE
Original article,Web of science,10.3389/fpubh.2016.00238.,Effect of Deforestation and Land Use Changes on Mosquito Productivity and Development in Western Kenya Highlands: Implication for Malaria Risk,2016,English,yes,Kenya,Kenya,Regional,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Malaria,Malaria,Vector-borne,protozoan,Mosquito,Mosquito,Environment sampling,Terrestrial,No,Field study,Knowledge gaps,Land Use Change,Direct,No,None,NA,"""We have demonstrated that land cover affects the productivity of and larval survivorship of Anopheles gambiae.""   The effect of deforestation on the microclimatic have affected the survivorship and reproductive fitness of An. gambiae, it was demonstrated that in the increase in malaria vector reproductive rate was associated with increased temperature due to deforestation and land clearance.  ""The study concludes that, the land cover changes and deforestation are the main drivers for the temperature rise in African highlands and escalates the rate of potential malaria vectors Anopheles gambiae ssp., Anopheles funestus, and Anopheles arabiensis colonizing the highlands."" ""In this study, it was found that adult survival time was shorter in the deforested area than in the forest area but the net reproductive rate was greater in the deforested area than that in the forest area. Putting them all together, it was found that deforestation can, first, greatly reduce vector generation time, thus, there will be more generations of vector in this area; second, increase reproductive rate together with increased larval–pupa survival rate, thus more offspring will survive to produce even more larvae; more generations and more offspring will greatly enhance the vector population. Furthermore, increased temperatures as a result of deforestation can shorten the gonotrophic cycle length, increase biting rates, and fasten the sporogonic development of the Plasmodium parasite in mosquitoes (64). """,NA,NA,"The capture–mark–release–recapture technique is unsuitable for study of the gonotrophic cycle duration in the highlands due to low vector densities, which would result in extremely low recapture rates.","It has been suggested that though density-dependent processes can regulate populations of An. gambiae under artificial conditions, it is not known how important these factors can be in natural conditions",NA,Medium,Medium,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1016/j.scitotenv.2016.08.102.,Do vegetated rooftops attract more mosquitoes? Monitoring disease vector abundance on urban green roofs,2016,English,no,University of Hong Kong,China,Local,Impact of landscape restoration on spillover risk and disease outbreaks in humans.,Mosquito-borne diseases,Mosquito-borne diseases,Vector-borne,multiple,Mosquito,Mosquito,Environment sampling,Terrestrial,Yes,Field study,Lessons learnt,Afforestation,Indirect,indirect,None,"""Contrary to common preconception, our data did not implicate vegetated urban rooftops to be frequented by vector mosquitoes. In fact, GR vector abundance was even lower than NC."" ""Our findings verified the studied site type to be a significant predictor of the number of vector mosquitoes. As hypothesized, elevated rooftops are not particularly hospitable to vector mosquitoes presumably due to microclimatic and other site conditions.""","""As expected, ground-level blue-green spaces with relatively large open water bodies attracted the most target-species mosquitoes among our three experimental groups."" ""Our results show that four of the five vector species highly prefer urban sites with ground-level greenery: An. minimus (SI = 98.1); Ae. japonicus (95.5); Ae. albopictus (83.4), Cx. fuscocephala (66.4), and Cx. quinquefasciatus show less preference (SI = 28.8) (Fig. 5).""",NA,NA,"""Although our data have demonstrated that the studied green roofs were not particularly preferred by local vector mosquitoes, generalizing this finding to other green roofs may lack prudence. One should note that the studied green roofs were the extensive type with good design and management to provide satisfactory drainage performance. The performance of green roofs can vary notably due to design, material quality, workmanship and maintenance.""","""Our study can be extended by conducting larval survey of the possible breeding containers found in the experimental sites. Follow-up studies can analyze the effects of site type, season, and weather conditions for each vector species. Additional types of study sites with different vegetation and water features at the ground level and rooftops can be included in future experiments. Future studies can delve deeper into the relationships between microclimatic and other site conditions versus vector occurrence.""","""""As a final note, with increasing occurrences of emerging and re-emerging vector-borne infectious diseases in the world, urban-dwelling mosquitoes and pathogens may continue to evolve and develop strategies to survive in anthropogenic environments. Therefore, an integrated approach including sound public health practice and the timely development of vaccines and drugs for these emerging diseases may provide the optimal solution for achieving an apposite balance between ecological and human health.""""",Low,Medium,,Low,High,AF,High,TRUE,FALSE
Original article,Web of science,10.1093/ilar/ilx035.,"Changing Patterns of Emerging Zoonotic Diseases in Wildlife, Domestic Animals, and Humans Linked to Biodiversity Loss and Globalization",2017,English,no,"USA, Brazil, Mexico",Mexico,Multi-region,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Multiple ,Multiple ,Generalist,multiple,Generic,Multiple,Historical data,Terrestrial,Yes,Review,Knowledge gaps,Other,Direct,No,None,NA,"""The fundamental human threats to biodiversity include overexploitation of species, habitat destruction, and exotic species introduction (referred as the “evil trio”), and have led to ecosystem disruptions causing alteration of disease transmission patterns."" ""Their findings did not support the hypothesis that “greater species richness is higher in sylvan habitats compared to disturbed areas,” suggesting that characteristics of assemblage structure do not adhere to current conceptions of species richness, and that the dilution effect is limited to site-/habitat-specific characteristics.""",NA,NA,NA,"""It is important to note that despite much anecdotal evidence, we still do not understand many of the potential effects that anthropogenic change might have on disease emergence (Patz et al. 2004). To be able to better predict disease emergence in the wake of urbanization, agricultural development, and a changing climate and thus make informed health-relevant policies, we need far more ecology and health analyses."" ""For sound health policy, we must shift away from dealing primarily with specific risk factors and look 'upstream' to underlying landscape determinants of disease and ultimately human behavior and established institutions that are detrimental to sustainable population health."" ","""For the development of policy based on research results, this transdisciplinary coalition is necessary to identify and address health issues at the local level. This coalition should be composed of local politicians, community representatives, economists, ecologists, public health workers, city planners (engineers and architects), social scientists, and educators."" ""While compelling, the human health justification for wildlife conservation is extremely anthropocentric, and an urgent need is to address how biodiversity depends on us."" ""One Health collaborations in research, intervention, and education should consider coincidental health problems and risks in areas of spatial and temporal overlap among species and stressors including crowding, pathogens, metals, nutrients, biotoxins, anthropogenic chemicals, and climate change."" ""Collectively countering such stressors can restore ecosystem services that protect humans and nonhumans alike. Transdisciplinarity, integrative research, and capacity building are core elements in establishing One Health interventions that address extant, emerging, and reemerging pathogens and toxicants that harm humans, wildlife, and other components of biodiversity.""",Low,,Medium,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1093/ilar/ily001.,Species Identity Supersedes the Dilution Effect Concerning Hantavirus Prevalence at Sites across Texas and Mexico,2017,English,yes,"Texas, Mexico","USA, Mexico",Multi-region,Dilution effect,Hantavirus,Hantavirus,Zoonoses,Virus,Rodents,Rodents,Environment sampling,Terrestrial,Yes,Experimental,Knowledge gaps,Other,Direct,indirect,Indirect,"""The hypothesis predicting greater species richness in sylvan habitats compared to disturbed areas was not supported (see also, Lehmer et al. 2008), suggesting the characteristics of assemblage structure (e.g., high species diversity = lower disease prevalence) do not adhere to current conceptions of species richness negatively influencing prevalence via a dilution effect (Clay et al. 2009; Calisher et al. 2002; Reusken and Heyman 2013)."" ""some assemblages with high species diversity appear to amplify hantavirus prevalence, regardless of habitat type, and maintain infections through spillover dynamics."" ""Furthermore, assemblages with high species richness can maintain hantavirus infection within assemblages of closely related species. Therefore, species identity and the phylogenetic relationship between each species comprising an assemblage is likely a strong driver for the persistence of hantavirus infection within small mammal populations.""","""As anthropogenic influences increase patchiness of disturbed and sylvan habitats, we likely see fluxes of species movements in and among patches attracted to novel or limited resources (e.g., shelter and ephemeral sustenance). Thus, overall disturbed areas might experience reduced richness and the presence of more generalist species than sylvan; however, temporal fluxes could cause this pattern to disappear on occasion as species move into and out of disturbance and patches (Suzán et al. 2015)."" ""Instead, our data suggest the species identity of potential hosts comprising the assemblage, their zoonotic potential (Han et al. 2016), and their relative abundance provide a foundational contribution to assemblage-wide hantavirus prevalence.""","""Though urban disturbance can create artificial microhabitats increasing localized species richness (McKinney 2006), immigrating species are often generalist species with high zoonotic potential and competency, increasing the frequency of human-wildlife interactions and the risk of spreading EIDs (Han et al. 2016).""",NA,"""The serological method we employed does not allow the identification of the specific hantavirus species causing the infections.""","""If the accuracy of the former scenario is true, these data provide urging support for increased land conservation efforts across Texas and México, which may help decrease the potential of EID reemergence in this region.""","""further molecular analyses of hantavirus infections in rodents from all study areas would help elucidate which hantaviruses species are harboring in any given locality. This information would allow to deepen the study of the dynamics of hantavirus transmission and maintenance in small mammal assemblages across Texas, México, and elsewhere."" ",Medium,Low,,Medium,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1038/srep41613.,The nexus between forest fragmentation in Africa and Ebola virus disease outbreaks,2017,English ,no,Central Africa,"Cameroon, Central African Republic, Gabon, Republic of Congo, Democratic Republic of the Congo, Uganda",Multi-region,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Ebola,Ebola,Zoonoses,Virus,Bats,Bats,Historical data,Terrestrial,Yes,Field study,Model,Other,Direct,No,Direct,NA,"""Our study shows that in the case of African ebolaviruses, spillover is more likely to occur in areas affected by forest fragmentation."" ""Our results indicate that Ebolavirus spillover events from wildlife reservoirs to humans preferentially occur in areas that are relatively populated and forested, yet where deforestation is reshaping the forest boundaries by increasing forest fragmentation.""","""Human encroachment in forested areas leads to forest destruction, habitat fragmentation, and may increase exposure to other zoonotic infections through interactions with wildlife reservoir species resulting from direct contact (e.g. bushmeat consumption) as well as potentially decreasing biodiversity."" Furthermore, because freeway fences surround forested resting areas, these may act as deer exclosures,with consequently higher prevalence of Borrelia burgdorferi s.l. (as shown here) and thus higher risks for Lyme disease exposure for humans and pet dogs walking there",NA,"""While this work has shown the existence of significant relationships between forest fragmentation and areas of ebolavirus spillover to human populations, we can only speculate on the underlying mechanisms (exposure to wildlife, bushmeat consumption, habitat destruction, biodiversity loss)."" ""It could be argued, however, that an area with a high (or low) value of a particular forest attribute is not necessarily a statistically significant hotspot (of deforestation or fragmentation): to be a hotspot, it needs a high (or low) value of that attribute but it also has to be surrounded by other areas with high (or low) values of the same attribute; otherwise, it would be just an outlier.""","""Further investigation into the mechanisms of ebolavirus spillover from wildlife reservoirs to humans, particularly focusing on the role of forest fragmentation and human encroachment into forested areas.""","""More comprehensive studies to understand the interactions between habitat alteration, biodiversity loss, and disease transmission dynamics, especially in relation to zoonotic diseases like Ebola virus disease (EVD).""",Medium,High,,Low,Medium,AF,High,TRUE,FALSE
Original article,Web of science,10.1556/004.2017.024.,IMPACT OF A FREEWAY ON THE DISPERSAL OF TICKS AND IXODES RICINUS-BORNE PATHOGENS: FORESTED RESTING AREAS MAY BECOME LYME DISEASE HOTSPOTS,2017,English,yes,Hungary,Hungary,Local,Impact of landscape degradation on spillover risk and disease outbreaks in humans.,Lyme disease,Lyme disease,Vector-borne,bacteria,"Ixodes ricinus, deer",Multiple,Environment sampling,Terrestrial,No,Field study,Knowledge gaps,Other,Direct,No,Indirect,NA,"""Thus, it can be postulated that if tick hosts are restricted in their movements and natural tick habitats become fragmented due to man-made barriers, this will influence the local eco-epidemiology of tick-borne infections."" ""For instance, when geographical clustering of tick-borne encephalitis virus variants was observed, it was partly attributed to man-made barriers that prevent the migration of relevant hosts."" ""These findings are most likely related to deer population densities in relevant habitats. As known from data of the literature, absence of deer in small areas (under 2.5 Ha, as in habitat-1) will increase the chances that ticks feed on rodents (Perkins et al., 2006), which are themain reservoirs of B. burgdorferi s.l..This in turn will lead to enhanced pathogenprevalence in such small enclosures (so-called ‘tick-borne disease hotspots’: Per-kins et al., 2006), as demonstrated for the forested freeway resting place in thepresent study","""In this hunting area red deer were reported to concentrate and have short distance movements... their migration to the south (i.e. towards habitats No. 6 to 8) is prevented by freeway fences.""",NA,"""In the above context, to the best of the authors’ knowledge, no studies evaluating the potential role of freeways in the eco-epidemiology of tick-borne diseases have been reported. Therefore, the aim of the present work (as a pilot study) was to investigate the diversity and abundance of tick species, as well as the risks of acquiring three species of Ixodes ricinus-borne bacteria, in habitats adjacent to a freeway.""","These findings exemplify that a fenced freeway may contribute to differences in tick species diversity and local tick-borne pathogen prevalence to differences in tick species diversity and local tick-borne pathogen prevalence rates, and this effect is most likely a consequence of its barrier role preventing rates, and this effect is most likely a consequence of its barrier role preventing movements of large game animals (mainly red deer).",NA,Medium,Low,,Medium,Medium,AF,High,TRUE,FALSE
